"pat" "th"
423 720
1035 367
1341 140
1329 506
1142 615
1006 180
593 273
596 638
450 495
632 237
1203 603
1080 589
1129 284
914 168
858 108
853 31
630 42
611 117
561 79
506 80
237 111
552 180
625 148
546 154
350 144
369 412
546 580
998 1356
1558 1776
1952 1826
2382 1598
2458 1303
2446 1681
2114 1765
1863 1419
915 1070
476 1060
255 886
266 941
354 1119
463 925
717 901
793 993
525 1043
549 911
457 909
332 1026
315 1306
235 1627
217 1776
224 2644
54 1675
99 544
119 246
166 802
69 1619
134 2228
175 2493
143 2313
166 1912
160 1261
227 632
164 194
126 86
237 226
236 610
274 770
371 409
214 195
358 64
326 21
269 282
138 122
109 254
49 222
183 590
119 260
98 455
107 528
240 626
239 651
675 744
1100 999
967 979
855 884
1028 570
1214 451
1379 606
1180 546
1321 400
1396 1078
1331 1864
1322 2785
1130 3235
856 3642
615 3983
426 3734
636 3272
736 2992
919 2754
1469 3537
1056 3738
1028 3562
636 2627
558 1652
386 1566
352 1241
374 321
315 625
503 605
613 369
317 289
377 50
544 169
267 273
379 491
259 473
439 670
429 523
460 593
459 492
393 633
320 320
462 94
610 83
659 201
678 36
781 285
642 515
606 561
408 423
393 375
296 140
437 7
587 28
683 87
169 36
175 40
104 19
41 23
63 98
188 420
207 743
187 683
395 733
407 987
630 701
1071 583
1361 693
1339 210
1205 300
865 149
950 15
1208 94
1120 43
1639 53
1757 71
1499 250
1703 337
1921 485
2276 583
2466 606
2243 696
1432 847
1268 1063
1194 1691
914 1451
715 2173
557 2222
425 1625
282 1329
216 1685
350 1619
591 768
624 335
943 856
1254 368
1549 313
1439 484
1218 673
1114 615
1372 856
1540 876
1289 1042
746 1179
1645 1293
2754 844
3606 770
4313 1078
4695 1209
4233 1329
3980 1467
3263 1402
2361 562
1934 801
1557 1293
1531 823
2127 423
2434 1419
2522 1621
2863 2429
3033 1804
3772 2101
4298 2300
4534 2264
3923 2479
3061 2411
2475 1986
2348 1983
2281 1873
1919 2364
1850 2174
1660 1992
1119 2420
588 2109
307 1951
468 2702
631 2923
378 2396
602 1874
952 1777
941 1703
928 2436
999 3801
1018 2791
1353 2197
1009 1888
1337 1542
1707 1687
1808 2473
1693 3169
1262 2797
1435 2502
1519 2647
1236 2006
1650 2086
1956 2262
2142 2683
2090 2698
1877 2732
1890 2409
2398 1944
2260 2237
1985 2379
1485 2433
1187 2279
1072 2871
993 3512
1054 3580
1181 3623
1391 3857
946 1832
1503 1933
1722 2651
1974 3021
2308 2264
2131 1338
2417 1835
2212 1866
2172 1560
1587 1427
875 1519
846 1561
711 1184
1082 1086
1482 1060
1777 1612
2297 1542
2857 1790
3186 1951
2446 2065
1921 2003
2019 1984
1469 2088
1551 2494
1433 3053
1282 2010
1798 1659
2490 1179
3022 903
3059 874
3390 492
3330 281
3173 118
3913 75
4685 92
5294 96
5405 100
5606 79
6155 220
6299 278
6848 148
6937 91
6980 102
7460 126
8058 73
8602 100
9389 128
9053 78
8318 47
7439 216
6081 44
5620 145
4990 132
4614 170
3966 102
3853 108
3268 197
3186 296
2727 377
2915 234
2829 144
3072 53
2830 35
2748 16
2098 53
1612 154
688 353
514 286
1777 228
2667 238
