"pat" "th"
1089 1965
1126 2306
1250 2384
2222 2720
3419 2544
4014 2479
4800 2498
5224 2475
5728 2770
5494 3193
5485 3657
5221 4285
4589 4750
4108 5174
3826 5192
3396 4836
3167 3647
1579 2637
1524 1794
1335 1397
637 1001
908 815
829 669
1082 602
977 543
1155 559
1124 359
1287 456
1014 797
537 978
736 916
1418 681
1671 854
1752 1098
1464 1292
1031 1570
1024 2088
835 3019
1005 3898
901 4244
1205 4356
1012 4146
828 4235
1043 4178
907 3755
1362 3040
1290 2789
1567 3165
1003 3396
1089 3430
2534 3619
2687 3488
3305 3624
3249 3473
3164 3117
3108 2846
3141 2665
2825 2887
2887 3423
2518 3695
2505 3488
2135 3409
1939 3322
1611 3486
1241 3283
1507 3302
1580 2702
2004 2481
1922 3499
2320 4316
2147 3998
2564 3930
2460 3961
2447 3012
1929 2798
1641 2324
812 1466
1024 1683
1405 1040
613 1250
1045 1937
1357 1588
1406 1336
962 1222
1022 975
889 808
1041 787
992 825
1165 1397
1165 1568
731 1943
117 1640
713 1289
968 821
1137 898
833 1166
335 1597
705 1893
1072 2000
934 2097
766 2598
498 2446
298 3169
587 2314
666 1664
669 1737
570 2034
954 1934
990 1404
1094 743
1093 1094
1240 1319
1295 1180
950 1713
718 1957
690 1452
532 1302
787 1370
858 937
929 757
908 809
1279 328
1385 391
1441 524
1089 718
937 1037
824 1234
670 1728
1079 1792
1270 1719
1277 1620
838 1395
1054 963
985 866
1575 531
1421 574
1635 869
1666 917
1923 838
1651 1067
1507 1052
965 1000
606 1043
2327 1049
2756 1087
2833 1181
2223 1055
1427 796
986 371
761 241
648 513
642 656
280 798
322 830
363 958
458 1120
446 1081
655 960
552 1211
706 1080
415 1185
637 1006
393 787
609 545
506 588
619 751
627 823
492 871
357 735
212 574
149 540
157 338
176 380
177 883
238 1230
435 1286
571 1257
739 1203
957 1077
818 645
893 477
704 271
741 214
449 129
426 390
231 449
169 362
132 403
208 349
140 326
144 699
110 698
5 1076
34 1234
37 1311
37 1367
75 1744
72 1761
56 1563
131 1236
160 1073
123 811
172 880
179 998
176 1372
100 882
40 1310
58 1314
87 1209
29 999
61 1493
45 1502
75 813
51 674
15 679
7 343
20 536
45 943
18 1240
3 1299
1 1451
11 1254
38 1019
38 846
10 878
14 591
35 600
3 536
0 335
0 306
0 118
0 36
0 8
30 42
169 49
568 36
777 16
951 28
1028 53
956 59
820 57
628 67
492 139
480 155
466 395
495 323
277 328
122 340
40 334
129 574
279 694
243 689
354 709
345 527
288 570
253 750
186 848
187 877
263 868
167 933
115 817
77 595
75 239
40 118
19 12
13 15
14 19
38 2
68 26
615 9
1020 0
1253 0
1115 0
