"pat" "th"
1493 1104
743 876
710 517
1364 336
736 1055
653 1949
701 1824
1151 666
795 1289
476 983
790 872
953 920
524 714
334 810
160 651
70 292
243 221
270 124
175 115
317 331
723 255
672 46
420 103
524 107
647 208
407 183
506 154
514 92
412 183
349 141
433 203
446 261
241 390
338 473
256 297
246 328
514 420
907 318
1179 219
1056 505
483 243
286 421
101 511
62 1103
129 954
92 731
164 746
594 727
707 387
841 311
543 212
420 178
447 218
501 108
374 98
145 10
94 28
15 56
25 16
22 37
5 6
43 8
0 21
23 13
11 44
0 0
0 128
51 410
28 892
24 978
24 1417
40 1634
14 1414
7 1600
31 2223
26 2511
28 2177
11 469
44 1853
26 2283
40 1924
13 1482
19 779
45 1250
20 1204
44 1154
22 1507
30 1540
24 1103
22 842
7 360
7 286
68 211
28 7
49 5
43 7
44 0
4 30
22 15
3 0
1 0
2 0
0 21
0 82
0 631
0 1347
3 1693
0 1307
69 827
463 570
536 215
220 423
19 643
64 451
399 326
190 241
148 166
34 44
0 69
0 28
0 13
10 23
3 31
1 15
0 11
0 0
0 0
0 17
0 39
0 250
0 466
0 302
1 120
0 54
0 129
0 115
3 144
126 15
185 122
122 167
875 0
1195 10
1112 109
715 92
1224 6
1130 16
780 12
1376 16
989 1
545 6
996 21
827 3
535 6
184 0
144 0
16 0
0 0
9 12
16 15
15 4
0 0
0 0
0 22
87 211
615 575
531 372
524 116
1082 52
1372 328
1068 231
850 25
1033 43
1280 76
918 81
562 31
827 0
636 23
687 23
1284 6
1262 8
1889 45
2530 22
2470 15
3157 11
4307 14
4316 9
2743 9
2481 7
2517 11
2530 25
1712 11
1757 38
2471 29
2443 49
2296 40
2479 42
1778 41
2158 120
2952 204
3042 779
2728 978
2234 1649
1416 2021
837 1937
678 1580
472 635
251 1673
244 2092
437 534
1003 2820
1529 3523
1606 3323
1044 3763
740 3440
585 3802
115 3977
104 4683
81 4494
151 3269
179 1643
836 1944
828 3733
528 4615
437 4992
1050 5233
2072 6074
2861 6642
3876 6483
4136 5358
4527 4748
4283 4731
4039 4737
3976 4315
4065 3349
4216 2572
3836 2251
3692 1654
3592 1316
3380 1153
3276 1057
2639 530
2397 182
1812 85
1547 56
1403 42
1268 87
816 52
683 59
828 1
606 20
843 135
581 379
298 441
107 517
187 257
338 177
223 22
315 192
555 579
339 833
361 805
179 759
214 229
145 8
177 94
109 323
117 764
71 1140
32 2636
124 3950
147 4270
195 4058
138 3056
402 3013
136 2691
397 2532
257 1681
86 1609
102 1391
189 996
146 845
119 1134
112 1711
26 2266
55 2428
148 2122
216 1714
239 1192
216 405
449 645
267 322
470 200
521 142
593 107
639 109
480 88
162 165
32 469
107 1209
67 2091
72 3031
47 3477
33 4363
55 4706
101 4896
191 5025
209 6160
547 6674
604 7556
689 7820
695 8571
918 7664
905 6936
939 6124
997 5848
490 4696
551 4443
456 3755
577 3460
339 2655
337 2291
358 1286
240 1140
241 497
388 531
268 252
180 427
182 387
159 456
79 538
36 406
32 336
43 381
41 346
18 131
37 275
32 443
144 1038
29 1279
248 1874
16 1925
213 2335
107 2435
318 2842
608 3034
606 3355
958 3825
835 4341
657 5058
633 5879
748 6562
1042 7282
1592 7633
1945 7758
2314 8480
2346 8822
2310 7877
2584 7416
2932 7585
3221 7975
4370 7280
4622 6784
5859 5829
6529 5519
6790 4452
5885 4146
4982 3678
3636 3485
2402 2426
2972 2115
3939 1329
4686 1049
4828 681
4486 682
3857 1468
4004 1628
3871 2267
3333 2243
3709 2148
4130 1200
4156 1066
4774 1381
4845 1350
5184 1678
4967 2054
5147 2489
4901 1690
4730 1751
4724 1637
4802 2668
4050 2984
3515 4132
2360 4361
2030 3940
1294 4029
1062 4213
754 4464
507 5430
524 5409
776 6049
937 6642
1244 6428
1517 5424
1826 5122
2560 4678
2803 4991
2707 4110
2362 4269
1771 3978
1605 4413
1471 4557
1758 4867
1801 5038
2146 4113
2278 4530
1897 4263
2129 4080
1861 4524
1805 4885
1454 4894
1442 5460
1261 5017
892 5194
677 5736
650 5953
719 6229
545 6488
581 5695
389 4253
436 3353
447 2901
1067 2296
1418 1563
1641 1418
1961 1245
1455 1621
997 2408
696 1263
478 1375
767 1596
646 2063
803 2229
603 2557
547 1974
493 1907
664 1575
594 1934
554 1303
698 1213
692 444
682 218
775 79
832 90
1094 85
1023 183
900 49
782 39
706 39
637 17
579 29
239 10
240 17
282 7
338 2
136 9
86 0
89 1
26 3
25 28
8 20
62 1
32 6
120 0
48 2
23 14
18 18
2 2
10 6
109 9
10 3
35 4
90 0
207 9
490 18
355 23
83 3
44 0
232 6
467 12
374 44
250 15
245 153
228 148
161 62
110 50
101 13
151 118
178 142
254 30
61 0
1 0
1 0
108 71
43 8
97 2
513 41
1115 0
1908 4
2189 28
2632 9
3462 7
3963 6
3481 0
3395 20
3598 11
3899 2
4290 3
4095 0
4315 9
3743 4
3641 8
3753 4
3881 31
3797 10
3484 16
3390 8
2634 8
2029 12
1742 17
1341 16
1148 26
607 1
843 6
700 0
493 0
569 0
566 0
704 0
533 0
926 5
945 0
1068 0
1594 0
2377 0
3515 0
4115 2
3580 0
4040 2
4376 11
4015 18
3907 10
2846 3
2386 6
