"pat" "th"
0 191
0 173
0 140
0 21
0 144
0 185
0 171
0 204
0 192
0 319
0 558
37 941
7 1696
28 2101
0 2068
18 2539
16 3070
19 2919
20 2633
9 1877
0 815
0 727
3 1268
8 1406
0 1545
0 1823
0 1853
2 1940
1 1804
0 1452
0 843
0 189
1 260
0 288
0 153
0 121
0 62
0 37
0 11
0 47
0 126
0 149
0 192
0 191
0 41
1 147
0 178
1 173
7 230
0 53
0 35
0 134
0 359
0 693
0 890
0 1060
3 1242
0 1478
0 1598
0 1571
0 1518
1 1517
0 1509
1 1447
0 1379
2 1214
0 964
0 928
0 937
0 916
0 793
0 671
0 620
0 713
0 763
1 1473
5 2904
2 4239
2 5202
6 6111
6 5670
3 4954
0 3522
11 5484
22 6025
48 5312
28 4956
19 4875
0 5115
7 5811
11 5763
12 5489
32 5896
231 5871
884 5402
891 4596
368 3524
124 3370
678 3556
212 3229
371 3048
536 3074
296 2798
25 2534
251 2570
537 2485
385 3170
111 3355
29 3591
51 3347
82 3419
351 3722
600 2970
376 3126
85 3805
38 4383
51 4121
60 3211
9 2760
33 3113
39 2361
63 2979
29 3392
30 4097
41 4594
52 5569
41 6140
35 6595
20 6950
26 6171
16 6138
30 6154
18 6016
22 5744
18 5436
23 4561
11 4510
15 3920
11 2871
8 2830
4 2326
7 1636
7 2054
6 1712
7 1733
3 2148
0 2249
5 2056
7 2309
3 1962
3 2174
2 2401
5 2387
7 2227
13 2141
10 1569
3 734
1 385
5 896
1 1202
2 1506
13 1931
10 2055
11 2349
66 2299
41 1881
109 1512
136 1278
190 820
150 663
23 716
66 589
98 845
42 947
6 974
27 936
35 781
9 669
16 840
2 645
5 612
12 693
14 630
3 539
4 693
3 525
0 301
0 454
1 438
0 185
0 300
0 381
3 131
1 473
17 275
20 158
59 350
18 157
40 333
5 237
1 475
5 566
20 377
18 433
4 479
9 1131
5 1313
1 919
19 646
5 762
5 912
3 842
4 723
0 705
6 327
0 128
0 144
0 183
0 215
0 194
0 96
0 103
0 144
0 205
0 153
0 96
0 75
0 134
0 168
0 185
0 226
0 270
0 332
0 441
67 570
0 521
17 561
53 492
13 311
0 221
0 225
1 120
0 69
0 54
0 49
0 28
0 38
2 142
3 158
5 147
2 271
2 172
1 362
0 613
1 1170
5 2203
4 3519
4 4097
7 4374
4 4649
2 5273
4 4948
14 4462
21 4525
76 4298
71 4641
24 5337
43 5472
30 4591
16 2994
12 3589
8 3453
4 3039
7 3325
5 3282
6 3501
9 2550
12 2286
6 2654
1 2844
10 2606
9 3541
16 3361
21 3394
3 3292
2 2917
0 2160
3 2280
6 2704
16 3525
32 4942
37 5131
23 3919
22 3008
8 2747
13 2356
19 2238
14 1976
5 1960
2 1802
9 1527
42 1932
16 2312
104 2327
556 2324
727 2009
202 2232
20 2467
109 2051
487 1769
105 1593
21 1856
100 1840
87 1725
30 2016
26 2326
48 2712
209 3002
235 3590
34 3902
23 3901
10 3610
22 3002
14 2438
6 1575
30 1430
13 1957
19 2816
19 3182
13 2926
18 3178
16 3586
10 3236
10 2840
9 2219
19 2931
16 2982
6 2442
10 2737
6 1941
7 1648
4 1999
8 2258
7 2369
17 1888
5 2251
4 1959
5 1903
19 2713
26 2357
13 1922
20 2271
32 3268
18 3286
3 2137
4 1873
9 2075
4 1663
6 1323
7 1371
0 1080
4 1573
11 2257
16 2504
8 2797
14 2835
22 2798
16 2363
4 1988
8 1925
17 2609
27 3613
21 4297
27 3286
13 2304
5 2473
13 2882
13 2778
14 3183
12 2353
8 1666
3 1898
3 1586
5 1615
9 1959
6 2001
10 1840
4 1545
0 941
0 1262
3 2213
5 2860
12 3434
22 2984
59 2702
7 2890
34 2990
13 2163
10 1987
2 2120
2 1663
0 2480
0 1988
3 2344
3 3397
0 3195
2 1830
14 1899
10 1243
2 999
6 1272
2 1252
0 490
0 453
4 569
3 736
0 663
0 338
6 255
2 232
0 79
0 61
0 42
6 112
0 64
0 147
0 51
0 110
0 136
0 321
38 356
60 272
0 121
5 47
12 3
15 43
2 34
0 954
3 1894
2 2316
4 1781
2 1491
3 931
3 975
0 476
0 339
0 281
0 599
0 1514
1 1974
0 1705
0 553
0 628
0 465
2 808
5 1517
7 2413
8 2678
2 2610
2 2338
5 2614
10 2679
11 2554
15 2549
18 2145
8 2300
9 2765
5 2550
28 1928
6 1563
24 1581
11 1921
3 1956
10 2127
3 2041
6 1864
9 2084
9 2461
7 2866
6 2692
0 1620
4 2141
4 1233
0 1063
6 705
0 389
0 365
0 46
0 47
0 333
0 529
0 635
0 512
4 1038
7 2354
10 4122
9 4631
2 5300
6 5715
16 5869
13 5658
9 4831
15 6098
18 7410
16 7689
17 5916
2 3940
8 4721
15 4195
12 3455
5 3215
7 3818
7 3472
3 3354
8 3265
8 2711
583 2278
1085 2638
512 2290
63 2259
591 2328
392 2767
208 3387
566 3851
278 3702
59 3768
93 3529
489 3822
446 4006
453 3566
37 3426
52 2261
73 3041
18 2791
22 1864
56 1636
166 1934
88 1040
15 563
0 390
1 272
30 357
0 198
0 1089
0 1988
6 2558
2 2897
0 3723
4 4051
1 3419
12 3264
8 3320
1 1443
5 1993
5 2110
11 1552
3 873
0 319
0 456
0 251
0 108
0 93
0 45
0 6
0 3
0 0
0 18
0 64
1 871
0 2017
2 2976
0 3790
2 3666
1 3378
0 1278
6 2455
3 2528
0 2079
1 2548
0 2902
1 3657
3 3065
46 2344
48 2474
19 2581
21 1556
11 1199
0 709
3 662
0 369
0 42
0 33
0 56
0 73
0 7
0 24
0 9
0 73
0 35
0 5
0 11
0 7
0 0
0 6
0 9
0 12
0 6
0 3
0 0
0 469
0 994
10 1602
457 1860
982 2278
1239 2565
1172 2983
515 2670
141 1914
685 2071
925 1756
887 1985
422 1748
252 2054
734 2921
872 3194
707 2997
283 2779
770 2770
1188 2252
1202 1275
865 989
486 410
184 124
102 42
133 4
206 185
66 5
253 15
380 0
258 0
114 0
4 1
0 0
100 0
148 0
14 0
27 0
150 0
164 0
