"pat" "th"
1071 88
602 1
756 0
498 0
527 0
452 0
1655 1
2224 6
2854 2
3200 3
3232 7
3047 3
2822 11
2609 8
2099 6
2204 4
1898 7
1206 2
1067 5
706 3
933 14
1374 4
1694 1
1905 2
2334 3
2726 43
2896 11
2759 8
2825 4
2673 2
3075 10
3377 22
3393 30
2514 49
2546 132
2412 214
2271 427
2168 349
2371 887
2195 1242
2646 1486
2494 1808
2519 2439
2623 2940
2698 3036
2819 3371
3000 2928
3399 2536
3136 2263
3188 4041
3589 5103
3510 5281
3438 4561
3949 4798
3937 4256
3638 4880
3527 3885
3158 3782
2806 2166
2202 1908
1753 788
1107 850
876 122
588 159
352 93
293 193
288 109
91 28
292 412
831 349
961 865
1142 918
1239 1711
1784 1706
2035 2843
2814 2991
3297 3378
4325 3201
4896 3841
5698 3323
6546 4161
7009 4003
7535 4420
7773 4209
8542 5025
8683 4422
9854 4690
8161 3908
7678 3930
7954 3151
7120 3512
6735 2954
7032 2621
5985 1559
4633 1321
3368 844
2021 1250
2035 1406
1148 1333
1217 1213
1127 1660
757 1052
533 746
499 790
372 812
523 1106
305 1149
327 824
133 785
191 707
150 968
215 507
322 972
326 1141
332 1265
240 1052
277 1005
304 786
317 952
322 1804
446 2392
490 3134
360 4025
388 4484
135 4475
191 4172
147 3594
172 3264
60 3192
61 2701
39 2033
25 1058
20 420
42 376
4 652
17 1160
16 895
3 484
11 235
6 256
1 256
1 200
6 132
0 34
1 80
0 111
4 117
0 109
0 39
0 59
15 159
0 4
0 19
0 32
0 28
0 0
0 3
0 23
7 0
0 4
2 1
2 28
2 4
74 0
177 3
149 0
98 0
166 0
51 1
136 8
327 6
310 14
390 57
292 95
414 138
371 124
131 100
200 468
253 1155
124 1102
109 968
51 670
15 494
1 284
1 168
12 91
48 53
145 27
163 8
293 28
357 24
374 39
437 150
374 296
282 808
247 1136
193 1150
92 941
27 519
5 373
21 772
1 418
4 325
3 159
9 125
0 22
0 28
0 23
0 7
3 0
0 13
0 64
0 11
3 0
38 22
135 11
191 0
190 11
136 9
127 1
350 0
433 7
292 6
331 4
194 0
375 41
296 0
332 0
300 0
252 4
158 3
68 15
0 33
2 138
0 281
3 351
79 355
99 398
163 235
121 179
135 92
120 75
182 85
98 13
166 8
161 12
119 10
216 32
151 40
168 62
103 264
8 111
73 119
52 56
92 56
51 50
24 44
39 42
19 47
55 20
14 8
17 6
58 0
16 0
7 0
22 0
0 0
0 0
2 0
21 3
10 0
31 3
36 1
13 0
71 0
22 39
0 0
8 0
29 1
17 1
22 0
43 0
11 0
23 0
49 0
12 0
68 0
78 0
21 0
59 0
70 0
77 0
67 0
23 1
3 0
66 0
29 0
18 0
99 0
1 0
64 86
20 0
12 0
35 0
4 0
0 0
2 0
14 0
0 2
0 0
11 4
3 0
1 0
0 2
0 0
0 0
11 0
0 0
3 0
5 0
4 0
0 0
0 0
0 0
0 0
16 74
9 22
38 258
44 769
7 916
0 709
58 307
1 23
6 85
42 213
65 279
85 231
26 212
28 141
9 163
30 94
0 188
15 234
3 238
4 120
7 127
2 85
0 67
21 93
19 119
2 414
0 348
11 355
53 251
0 92
106 41
4 34
0 57
2 88
0 74
0 16
1 6
2 19
14 43
7 24
2 23
0 26
1 19
0 4
9 11
0 3
12 7
1 9
0 15
2 6
43 71
0 0
1 0
0 16
5 12
15 10
2 3
0 0
1 2
1 0
0 0
0 0
3 3
0 11
0 36
0 31
0 68
0 45
1 77
5 18
0 4
13 2
0 88
2 256
2 343
17 364
0 207
0 55
2 7
8 17
6 18
24 52
8 46
0 68
0 38
0 0
0 0
0 56
0 59
0 40
1 20
0 0
0 0
0 9
0 11
0 2
0 7
0 0
0 13
0 23
6 149
0 3
0 16
0 3
0 20
0 41
0 27
0 52
0 53
0 8
0 10
2 2
0 0
0 5
0 47
0 38
0 6
0 8
0 2
1 3
0 9
0 15
0 40
0 26
0 10
11 77
0 24
0 10
0 6
2 2
0 2
0 0
0 8
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
5 9
0 0
0 0
0 14
0 0
14 70
0 0
0 13
0 0
2 0
2 0
0 7
0 0
3 0
0 0
0 3
0 0
1 0
4 0
56 0
72 0
102 1
109 0
63 0
46 0
114 0
174 0
312 0
183 0
134 0
166 46
17 0
13 0
3 0
6 0
1 0
0 0
1 0
3 0
24 0
22 0
