"pat" "th"
1 7
0 4
0 24
3 76
0 36
35 21
4 20
3 50
6 0
0 35
0 79
0 7
0 51
0 8
0 8
2 23
2 8
2 33
0 6
0 17
0 0
0 13
0 0
3 71
0 23
3 44
0 57
0 0
2 32
1 50
3 68
2 51
1 7
0 0
19 26
9 0
1 2
1 3
6 11
0 0
0 0
0 0
0 1
0 18
0 25
0 0
0 0
0 24
0 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 3
0 10
3 10
0 5
0 8
0 56
1 22
0 16
3 29
4 48
11 28
31 65
0 16
0 73
2 98
0 228
6 263
2 251
2 190
0 100
1 43
0 29
0 32
0 30
0 30
0 0
0 4
2 7
0 10
0 6
2 11
0 8
10 116
18 283
20 282
34 178
18 118
23 122
4 69
2 114
10 61
2 12
0 109
6 170
4 62
0 7
6 21
3 19
0 9
1 13
0 8
0 16
0 0
0 0
0 28
0 30
0 47
0 63
0 84
0 189
0 187
0 227
1 163
3 215
0 195
0 220
1 208
0 179
1 172
0 119
0 71
1 105
0 56
3 107
28 59
0 58
24 28
84 11
252 31
354 3
377 8
385 79
426 50
561 9
756 0
1020 2
1309 6
1783 0
2153 6
2419 3
2710 4
2985 7
3216 11
3620 13
3529 19
3522 7
2870 3
2350 0
2285 0
2657 9
3021 0
3788 7
3487 9
3011 9
3109 3
2719 4
2731 0
2320 0
2298 0
2206 16
2368 7
2844 21
3444 82
3557 142
3800 267
4282 332
4366 513
4411 394
4263 334
3094 213
2422 278
1754 397
1251 445
1073 577
1084 840
962 1110
853 1389
1003 1266
1280 1006
1601 984
1771 1082
1672 1259
1162 1253
810 938
453 608
248 518
212 225
211 97
263 190
188 168
291 74
254 23
285 181
289 161
145 60
92 79
65 60
35 42
43 234
35 94
55 145
20 140
0 114
8 10
15 17
27 53
65 38
18 71
0 0
0 19
6 51
13 80
6 37
5 91
9 145
7 207
7 273
7 318
10 316
7 163
4 211
0 187
20 81
2 86
2 104
4 171
4 147
5 204
5 225
2 151
5 203
2 144
5 126
1 79
0 93
0 76
3 71
0 65
0 40
6 66
1 21
0 9
0 1
10 16
0 0
0 36
0 150
2 559
5 787
3 1088
31 1125
18 1320
9 1170
6 1104
25 1006
13 1055
11 754
5 612
10 1096
1 1282
1 1052
0 1013
4 1438
2 1478
7 1245
7 935
5 402
5 549
4 259
1 117
4 186
3 131
0 69
2 160
26 264
7 499
8 611
10 536
13 508
16 737
10 738
5 574
9 504
9 396
6 215
9 62
0 2
0 6
29 79
10 439
11 1073
12 1472
9 1054
6 1202
1 524
3 668
4 648
3 748
4 769
4 703
4 686
0 537
2 386
6 543
2 565
1 984
3 1078
2 1208
5 408
1 414
6 327
4 219
7 204
1 53
3 111
4 147
3 71
0 0
1 66
0 51
1 55
1 67
76 147
88 169
41 142
152 142
126 167
127 30
143 0
69 5
148 3
49 0
45 8
46 5
15 5
14 3
2 3
0 0
0 0
0 0
0 8
0 0
0 0
6 2
0 0
0 17
0 4
0 0
6 0
11 0
36 0
3 0
0 0
0 0
20 0
31 3
43 0
14 2
3 0
0 0
6 0
5 0
13 0
6 0
0 0
8 7
0 3
0 0
1 1
0 0
0 0
4 0
0 0
0 0
0 0
0 0
0 15
0 9
0 1
0 42
0 61
0 42
0 11
3 11
0 3
3 53
0 55
0 18
0 3
0 5
0 0
0 8
0 9
0 25
0 0
4 3
11 2
2 1
5 0
15 0
12 2
22 0
4 0
0 0
17 0
5 0
9 0
11 0
3 17
0 10
4 15
11 39
4 85
1 58
4 42
0 20
6 10
2 13
3 0
0 0
0 0
0 0
9 0
0 0
62 0
23 0
11 4
10 0
0 0
0 0
31 0
5 0
16 0
31 0
13 0
2 0
0 0
12 0
13 0
15 0
25 0
31 0
8 0
33 1
1 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
0 0
0 0
0 0
13 0
0 0
0 0
0 0
0 0
0 0
34 0
3 0
0 0
1 0
4 0
0 0
1 0
0 0
7 0
0 0
0 0
52 0
117 0
199 0
307 0
189 0
198 0
358 0
594 0
719 1
550 0
535 0
811 0
1112 0
1299 0
1504 0
1402 0
1265 0
869 0
667 0
626 0
675 0
507 0
391 0
369 0
47 0
10 2
64 0
10 0
39 0
51 0
131 0
169 0
78 0
77 0
193 121
282 656
482 1142
673 1648
936 1783
1061 2407
1041 2536
1054 2752
1066 3010
853 3348
679 3269
556 2942
361 2462
291 2124
227 1711
144 1462
118 1861
202 1809
283 1801
256 2176
287 2578
224 3521
127 3355
45 3394
25 3208
21 3254
46 3767
27 3196
33 3231
89 3278
68 2589
24 2292
24 2044
24 1767
180 1456
374 1512
552 1905
640 2158
689 2871
680 3488
763 4024
893 4796
1085 5180
1159 5803
1274 6066
1271 6942
1122 7161
985 6797
567 6760
386 6595
435 6912
396 6737
289 6117
244 5419
315 4990
234 5332
342 5209
632 5094
761 4645
928 4767
1070 5203
1011 6300
684 6367
711 6440
908 7451
1206 8371
1525 8906
1775 9886
1869 10400
1719 10151
1651 10797
1325 10335
954 9925
353 9340
190 8926
109 8536
146 8446
262 7872
179 6349
138 5071
120 3920
133 3542
173 3567
78 3528
40 3659
45 3207
66 3298
10 2596
47 2720
53 2297
57 2523
96 2497
46 2262
61 2518
90 2860
61 3706
55 3984
68 3952
55 3178
45 3006
56 3334
64 3076
78 3212
55 2521
38 2442
118 1511
90 1582
62 2246
37 2287
20 1922
12 2049
21 1970
24 1439
19 1306
17 1299
10 817
19 1547
16 1588
12 1896
17 1847
19 1874
16 1995
12 1699
12 1025
5 479
5 558
21 1236
28 1583
113 1140
118 1263
140 1134
74 1245
22 1323
48 1326
66 1295
27 1109
15 777
6 640
24 1028
27 1338
11 1352
5 1171
9 1779
31 2177
28 2364
24 2593
25 3247
38 3659
44 3304
43 2594
70 2056
23 1909
6 1657
9 1287
51 1151
74 1085
8 1098
7 984
9 845
27 505
7 330
17 441
12 428
88 570
77 544
20 456
5 320
5 191
4 276
7 413
15 539
36 543
35 706
0 822
1 792
4 998
0 1048
4 1325
9 1399
26 1358
46 1296
3 1051
27 933
3 1117
2 1672
1 2007
0 1589
1 1527
3 1772
6 1366
7 1576
7 1568
12 1338
6 1282
0 827
6 254
42 283
17 401
11 403
2 500
9 542
8 560
3 576
2 815
2 878
4 708
2 476
3 518
2 604
6 770
5 851
6 1056
5 901
2 674
12 389
22 471
1 365
8 490
4 470
0 384
2 153
0 306
0 169
0 544
6 414
2 312
3 222
7 424
12 953
2 902
3 323
4 416
4 643
2 605
0 228
0 289
2 365
0 158
0 197
0 92
0 18
2 22
28 88
0 38
13 7
0 11
2 106
0 120
0 10
0 94
0 34
0 134
0 29
0 56
0 152
0 59
