"pat" "th"
0 2
13 11
14 10
3 15
0 4
2 18
0 0
0 3
0 4
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
35 0
4 0
1 0
30 0
2 0
14 0
20 0
19 2
55 7
36 3
176 0
294 23
641 12
923 0
1265 23
1333 31
1325 12
1340 0
1198 1
719 0
499 0
209 0
11 0
0 0
15 8
25 0
28 0
61 0
55 0
99 5
42 0
58 0
79 0
84 10
82 2
59 11
121 13
114 48
57 33
79 10
69 54
74 22
138 13
117 580
168 1064
125 1427
203 2064
204 1993
174 1993
288 1808
172 1410
294 875
169 55
188 737
237 684
271 289
166 182
272 165
196 72
300 1
191 162
199 33
236 221
136 127
197 237
114 214
131 82
125 131
53 150
119 312
34 598
21 1504
32 1548
2 1688
0 1621
0 1317
0 1121
0 693
0 781
0 562
0 385
0 54
1 42
3 25
0 61
15 12
0 50
2 19
0 168
0 62
0 508
0 476
0 949
0 770
1 1016
0 572
1 282
0 122
0 145
0 724
0 853
0 914
2 795
0 747
0 1005
0 1798
0 2038
0 2195
0 2325
2 2103
256 1902
1374 2049
3466 2205
5370 1859
7725 2000
9628 1693
10121 1417
11104 863
11849 1529
12039 1514
12712 1466
13355 1838
13633 2172
14114 3141
13880 2569
14050 2105
13871 1098
13041 907
12685 782
12189 792
12296 1028
11683 957
11049 1239
10237 1719
9232 1741
8716 1279
9029 1568
8918 1725
7396 1439
6327 1562
5333 1078
3934 838
4594 284
4947 359
4469 312
3655 208
2800 193
1771 97
1617 160
2234 175
1648 139
1447 257
1277 63
268 239
1278 133
2611 417
2812 879
1600 1614
2063 2070
3006 2114
3628 2664
3795 2066
3073 2646
1803 2626
1904 2801
2696 1878
3019 1735
4118 1675
5053 1572
4674 642
4389 786
5009 179
4717 226
4638 44
4472 127
3533 52
2155 115
2374 49
3096 268
2927 122
2085 803
831 818
726 1302
1000 1403
925 1595
610 1017
298 924
450 669
422 357
952 1231
820 1204
1070 1493
1084 1095
856 1247
1446 788
2008 828
2665 259
2715 388
2977 165
2932 401
2581 266
2852 524
3098 373
3868 601
4295 470
4346 574
4238 371
4177 703
4137 412
3302 509
3127 223
2792 146
3276 89
2624 12
2011 1
1603 11
1291 28
717 44
320 46
650 7
1791 6
2336 2
3249 1
4662 3
6234 8
8004 9
9285 2
10394 3
11657 9
10750 11
9580 10
7804 11
5225 7
5502 8
7471 1
8365 4
10570 7
10945 21
9887 19
9887 10
9638 8
8569 11
7498 8
6348 11
5888 6
5709 7
5268 53
5103 152
4614 352
4777 285
5149 217
4993 118
5137 45
5369 20
5240 17
3686 653
3337 709
4664 1005
5549 1208
6514 1219
7957 1624
9058 1577
10048 1581
9824 1217
9141 1251
8323 1151
6190 1044
4156 864
4796 672
4443 342
3978 433
4015 291
5229 259
6052 230
7685 257
9454 758
11244 1113
12387 1855
13473 1982
13870 2379
14235 1920
15681 2179
16584 2189
17030 1950
16881 1785
16514 1712
16344 1522
15653 1771
14823 1671
13779 2366
12748 2777
12502 3596
12113 4237
11233 5034
10313 5037
10203 5242
9673 5009
9272 4940
7896 5070
7304 3913
6562 3831
5771 3697
5053 4291
4642 5245
4217 5598
4093 5910
4346 6426
5223 6081
4615 6476
5698 5862
6235 5575
5461 4220
5786 3964
4785 3775
3582 4365
3180 4379
3576 4990
4321 4959
4219 5401
4200 5147
5028 5142
5616 4463
5208 4269
4285 3901
3682 4289
3705 4179
3429 4257
2998 3860
1867 2832
1645 2832
2908 2409
3189 2139
3017 1847
3135 1051
3506 596
3730 504
3892 771
3530 1351
3138 1264
2616 1270
2107 1136
1257 1449
1674 1762
2065 1694
2579 1757
3029 1908
3375 1999
3194 1541
2816 1985
2723 2083
2600 2917
2019 2635
1483 3240
722 2888
551 3495
951 2623
1000 2657
866 1205
1583 1612
2864 1062
3757 1265
4913 1646
5695 2010
4735 2092
4419 2677
4507 3971
5013 4554
5281 4389
6104 3906
7018 3435
8588 3140
9150 3160
10309 3181
11026 3656
11867 3781
12065 4302
11591 4121
10756 4268
10088 3341
9124 3254
7902 2323
6537 3150
5091 2852
3661 3302
2265 3400
1131 4278
563 4348
774 4897
1427 4618
3368 5254
5272 5316
6907 5325
8027 4960
9290 4888
9940 3734
10651 3449
11113 3630
10993 3207
10667 2357
9588 2520
8286 2178
7003 2248
5467 2210
5155 2555
5523 2163
6039 2056
5998 1580
5111 2063
4194 1789
5692 2132
5449 1565
3984 1504
4809 1254
4753 844
4453 783
3847 597
3392 655
2394 682
2668 940
3061 1204
2564 1004
1025 900
322 729
894 672
1301 363
1394 340
1134 220
977 11
721 29
711 40
905 215
1245 233
804 218
706 208
383 115
200 117
115 9
98 27
42 60
13 35
26 97
9 576
13 1377
15 1885
11 2147
12 1669
12 1252
15 1093
7 1249
103 855
242 893
244 283
230 898
126 617
55 589
2 275
0 359
0 903
483 1462
1536 1833
2972 2252
3881 2266
4893 2304
5644 1649
6238 1373
6449 1327
5715 1181
5187 410
5182 799
6152 642
7242 301
8402 728
8921 434
8771 328
8435 234
7820 610
6773 492
4878 869
3353 707
2917 732
5652 386
9216 665
13410 492
15022 695
15965 443
16045 411
15241 162
14253 114
12754 224
11340 42
9044 486
8074 218
6719 578
5751 266
5198 620
5673 170
6538 388
6729 42
6637 168
5818 85
3789 88
4202 89
6093 16
5737 312
4289 24
3280 414
2912 5
2434 602
2182 536
1611 1210
1000 1196
376 1873
465 2331
132 2490
111 2881
19 2299
76 1977
68 1555
36 1543
36 2676
25 3167
16 3436
53 3506
295 2606
363 2154
167 2283
278 2230
161 2234
61 2626
52 3446
160 2980
93 2767
130 3601
77 3722
110 3604
93 2859
490 1999
783 2565
597 2804
1028 2365
1080 2782
872 2475
951 1738
587 1825
326 1319
362 775
429 1271
930 1640
1332 1240
1798 911
2045 890
1729 1239
1083 1854
1205 1129
440 1461
247 1039
486 1190
945 566
1443 994
