"pat" "th"
1424 34
1305 37
976 12
613 0
343 12
74 2
586 24
842 38
1082 17
1256 65
1294 108
1066 315
765 711
243 783
101 860
387 617
530 254
746 128
751 85
687 8
357 118
66 299
66 606
328 542
680 545
823 570
674 405
588 315
341 273
131 369
30 308
2 250
0 80
0 69
16 40
72 97
55 42
29 13
0 61
16 19
0 4
1 50
0 147
0 387
6 662
6 593
20 802
18 792
38 663
11 421
82 271
56 48
560 26
1250 17
1503 2
1379 19
561 17
222 34
1308 109
2038 117
2308 84
2277 72
1832 38
1479 43
944 32
750 69
1011 35
1406 21
1588 29
1699 16
1569 11
997 8
595 18
918 14
1242 37
1430 38
1338 5
1145 14
798 17
472 40
409 32
903 48
1110 3
1337 0
1508 6
1360 25
1102 33
652 78
333 44
55 228
11 223
0 51
34 66
57 34
5 26
6 10
14 69
17 82
79 61
947 79
1655 96
1645 2
958 3
123 23
913 10
1739 2
1956 2
1933 16
1788 22
1565 63
1000 20
579 5
1238 9
1588 0
1723 5
1761 11
1427 12
995 16
615 26
714 31
960 63
998 58
920 28
709 13
157 7
27 18
2 0
313 6
317 6
339 17
329 8
108 8
63 5
0 2
7 24
12 27
112 9
109 37
69 51
105 132
25 156
10 151
18 521
15 1494
10 1542
11 747
13 479
7 292
14 223
1 326
6 245
0 171
9 570
11 533
10 412
1 29
0 14
0 89
7 269
2 237
3 238
11 345
2 166
22 120
15 125
3 108
5 442
5 1414
17 1909
8 2135
2 1858
1 1826
9 1926
11 1944
13 1705
34 1625
12 983
7 398
9 406
17 312
10 941
14 1028
19 1747
22 1773
13 2180
58 1868
30 1452
16 1390
5 821
6 880
4 360
1 437
1 349
24 258
20 409
29 132
17 265
8 56
0 460
0 91
1 328
4 182
2 163
5 71
1 15
0 9
0 135
0 346
0 761
0 1234
0 1919
0 2429
34 2802
3 2501
75 1658
65 2219
27 2772
16 2511
9 2333
0 1972
0 1738
1 1288
122 1197
256 1018
531 953
709 1364
563 1458
341 1285
176 501
75 737
1 550
0 846
19 896
43 858
23 1261
17 1472
269 1897
991 2237
1425 1207
1415 635
922 227
201 226
1049 170
1925 39
2106 72
1891 133
1790 266
1547 460
1249 678
990 833
1553 1223
1738 722
1787 398
1564 562
1344 721
1471 703
1669 660
1560 528
989 976
296 945
418 111
826 155
1121 226
770 133
218 11
269 0
690 27
406 15
146 61
5 50
67 41
329 11
255 11
372 2
399 5
325 25
191 0
258 15
341 3
371 2
479 2
414 0
607 14
822 63
1127 889
1105 1611
868 2130
700 1365
375 2576
598 2900
846 2640
1180 1890
1554 1863
1681 1381
1876 1093
1882 1060
1998 1176
1835 1170
1463 612
1226 732
1330 1605
1241 2079
1364 2387
1006 2129
1121 1646
1104 1346
1135 1224
1212 2531
1127 1977
994 949
1417 1074
1771 992
1465 341
1091 310
1319 200
1150 73
855 33
629 176
691 200
562 147
379 263
291 109
404 272
376 96
442 149
1043 1751
1333 3682
1695 4352
1549 3960
1249 3192
1156 3626
1256 4698
1276 5394
1294 6511
1248 6005
1472 5351
1594 3096
1385 2580
1121 2384
1571 2868
2289 1601
2623 526
2489 1312
1935 1752
1770 1939
2220 503
2735 2182
2555 1847
2582 2554
2206 1735
1905 2592
1594 1883
1524 1912
1277 1692
1161 2773
1266 1542
1500 2018
1360 1114
1333 1893
1560 1778
1620 2080
1510 3025
1535 2139
1505 880
1204 822
1418 951
1752 161
1799 245
1567 163
1226 410
1181 1394
1489 1800
1571 1414
1190 1600
811 1081
743 911
1099 1032
1146 1118
345 640
205 57
902 211
656 376
77 587
33 1044
209 1268
168 1106
282 1898
378 1619
173 1048
25 609
16 194
7 362
19 1037
28 1773
71 2022
248 2002
545 1386
746 2308
395 1633
111 1502
537 1768
983 918
892 1545
695 770
645 603
854 681
794 579
1122 260
1434 330
1445 526
1275 303
885 229
1353 360
1758 221
1768 245
1547 120
1696 197
1558 129
1108 202
601 57
1168 125
1273 50
1251 203
1236 48
1170 83
1267 166
650 61
135 47
247 85
302 85
313 61
684 154
686 88
343 76
9 119
302 80
220 66
43 70
22 222
13 200
24 412
22 480
16 1391
1 2117
2 2352
4 3002
15 3200
34 1759
2 1598
1 1307
12 1642
5 2077
15 1948
12 2333
2 1304
0 1454
4 1297
0 1396
3 1521
66 1930
7 1769
8 1229
0 572
1 1553
18 1926
0 1128
9 999
0 970
3 462
6 1182
18 878
14 79
20 310
4 1
0 10
28 13
0 0
3 5
9 30
8 0
58 0
85 0
180 2
312 0
610 6
909 47
1078 212
503 789
55 1313
716 1497
1445 1215
1786 870
1766 479
1683 151
1646 444
1390 1297
1301 1914
1234 2131
1157 1477
1001 734
1166 381
1114 229
874 233
578 173
226 65
4 104
15 214
45 208
160 170
260 64
860 45
1490 21
1691 37
1075 25
993 2
2125 6
2641 8
2649 10
2026 19
1014 44
1204 83
2258 146
2626 158
2201 333
1773 85
1154 337
1607 15
2127 45
1827 31
819 37
719 3
1317 13
718 9
110 19
801 15
519 7
68 0
775 1
1450 17
711 9
828 0
2008 43
2084 54
1322 4
815 2
1534 7
1939 6
1853 5
1405 5
722 1
840 7
1080 2
1012 2
798 0
624 53
557 48
411 1
258 50
293 48
475 120
520 176
408 202
439 173
247 93
49 103
0 121
48 217
56 373
26 525
58 707
29 943
0 1001
0 958
65 652
534 190
635 104
136 132
91 103
478 46
482 7
432 24
182 55
100 6
800 0
1981 0
2517 41
2045 9
676 40
1826 8
2581 10
2608 15
2202 0
1613 8
2390 10
2504 20
1396 6
600 2
1414 8
1390 10
895 10
1053 27
520 3
498 3
1150 4
1780 29
1657 5
1528 4
1809 6
1974 6
1596 6
637 3
189 0
846 3
1530 16
1490 60
958 214
433 278
933 255
1256 156
759 68
484 40
851 25
1070 44
1115 45
751 117
367 463
305 295
550 46
908 128
909 20
771 304
289 254
113 228
307 204
510 216
767 52
795 4
554 3
273 15
67 2
492 11
934 5
1138 13
1104 0
720 17
427 29
327 9
546 20
736 28
811 33
731 92
546 48
477 200
304 338
395 593
525 845
727 1034
750 1097
687 1249
443 1354
128 1583
7 1709
48 1607
173 1781
146 1624
157 1321
112 1063
34 782
22 701
10 441
155 250
170 770
200 901
69 1606
45 1953
30 2978
29 3054
55 4051
166 3428
145 4023
152 3303
141 3697
26 2629
27 2595
17 914
18 550
6 538
9 737
1 1946
13 1828
24 2902
25 2335
26 2989
38 1977
43 2066
39 1243
41 1110
27 1142
6 582
1 1086
33 1445
40 2811
34 2375
39 3139
90 2504
59 2702
22 1561
21 1380
3 248
3 217
15 165
167 82
644 836
1109 814
1321 2071
1389 1517
1117 2260
658 2222
875 2274
1497 2188
1797 2075
1745 1833
1922 1504
2085 1139
1996 832
1967 564
1472 232
1175 122
645 164
489 373
90 772
8 1071
156 1080
437 1216
596 2177
965 2064
1372 1857
1450 2214
1281 2317
1095 2017
961 1264
914 956
794 1376
469 1113
537 1376
556 1789
324 1387
144 1701
161 1328
86 1324
108 937
35 982
114 751
11 1045
20 699
22 971
30 1393
10 1344
18 1645
26 516
38 552
26 367
0 277
8 207
0 179
0 66
0 363
0 133
40 93
129 122
345 164
601 415
822 959
925 1004
765 1296
297 1732
318 1419
991 1304
1416 1340
1541 1320
1620 883
1586 998
1537 1142
1392 1208
1011 1310
578 1250
209 911
30 1368
201 997
483 1587
678 831
790 1666
797 1504
705 1974
577 1166
368 868
154 478
53 1039
5 914
8 461
21 592
22 331
58 718
18 424
11 735
0 233
0 595
0 266
0 407
0 212
77 331
99 195
546 174
977 184
1385 82
1486 219
1388 115
1054 354
995 103
1061 107
1183 162
1346 125
1327 297
1579 406
1872 658
2101 566
1953 501
1797 501
1394 560
809 225
162 127
122 42
430 14
782 0
891 0
1036 34
921 88
900 195
662 424
348 665
32 972
0 1257
0 1516
1 1005
45 74
65 425
43 135
18 132
20 25
0 0
1 22
0 12
0 40
2 7
0 48
0 10
0 31
2 11
0 0
0 0
0 3
0 0
1 0
31 0
2 1
13 1
0 0
1 0
10 14
31 29
63 4
72 0
249 0
319 0
261 1
146 41
5 0
37 12
26 55
4 334
0 506
0 590
1 566
1 387
3 270
16 425
9 608
9 601
15 288
79 491
73 567
270 278
610 241
1114 486
1296 814
914 266
279 474
333 706
1169 419
1489 421
1644 286
1593 265
1385 466
987 551
833 537
1247 399
1481 840
1486 453
1372 288
1138 413
1159 111
1140 166
619 91
61 57
63 81
111 10
350 38
684 133
919 184
855 346
559 522
15 405
779 330
1285 215
1448 175
1359 328
1127 199
847 153
805 51
743 14
764 22
906 74
1113 108
1218 232
1129 351
922 529
628 672
385 566
154 545
195 637
270 674
117 630
0 486
1 401
169 241
278 309
313 562
387 850
232 895
117 556
67 530
14 361
4 186
0 212
49 319
171 400
211 409
187 324
170 255
172 516
113 610
238 713
287 830
281 671
99 863
0 795
0 612
0 339
7 435
0 705
10 1220
9 1893
28 2365
37 2132
43 1350
24 1135
10 1208
23 1509
44 1495
95 1927
150 2130
79 2530
52 2291
67 2174
47 2128
113 2523
50 2757
28 2255
14 1759
283 1510
579 1815
890 1855
1068 1387
1111 1677
925 970
511 688
395 59
668 184
995 27
1035 50
1115 157
1048 53
1090 55
1021 201
846 80
569 96
331 105
150 61
376 51
656 69
813 544
758 1103
470 2140
283 1984
47 1950
15 2207
57 1852
141 2030
284 1495
250 2283
228 1641
107 2205
13 1234
29 1634
21 909
28 1659
4 892
14 1384
8 1067
1 1527
0 1116
3 352
1 645
0 679
0 495
82 199
703 326
1009 89
881 446
433 74
452 340
435 37
514 179
467 168
551 16
836 0
1132 0
1379 43
1352 72
1064 32
513 21
176 0
671 20
1139 106
1475 371
1700 652
1597 947
1504 1039
1363 1053
1406 1458
1344 1509
1136 1429
930 1373
954 1164
1046 750
989 522
509 711
225 612
271 577
610 548
773 615
860 770
851 812
740 1316
474 1955
240 1080
0 1497
32 1334
26 1153
69 1086
397 976
929 875
1376 856
1311 585
876 424
300 339
711 143
1350 28
1517 29
1529 0
1566 13
1533 2
1446 0
1154 1
865 0
541 0
162 14
0 27
183 20
447 0
593 3
636 0
673 13
631 0
562 0
357 8
69 1
5 0
10 0
58 0
50 0
73 5
83 21
45 28
4 15
3 180
0 492
15 622
73 466
88 1031
45 1137
7 959
3 1009
1 1086
25 995
97 1167
133 1049
164 946
128 1177
12 1148
14 1107
2 1184
0 947
0 595
1 328
0 300
0 463
3 732
0 969
0 1121
1 1799
3 2209
4 2463
5 2620
6 2523
9 2069
3 1475
6 1906
4 2441
0 2829
0 3093
0 3101
0 2869
0 2330
0 1844
0 1622
0 1209
1 1378
2 1265
8 1726
16 1865
13 1655
17 2055
16 2147
25 2926
33 2306
25 2336
20 1721
2 1809
6 1382
10 1384
35 1033
133 1175
409 1451
364 1327
466 1648
133 1045
67 1250
46 1186
61 659
47 827
54 988
39 1153
44 1238
82 444
43 551
110 1004
32 1514
31 1709
160 1572
726 1705
1277 1903
1578 1676
1852 1392
1608 1237
1039 1363
1295 542
1980 661
2368 684
2316 76
1839 262
1188 70
1075 179
896 174
502 71
210 147
445 324
841 224
1071 412
1001 211
583 278
477 134
1199 162
1550 84
1286 87
669 50
940 133
1597 147
1506 159
801 114
222 168
967 54
1598 58
1648 126
760 93
534 122
1201 87
1161 97
827 88
418 112
303 166
735 135
677 275
151 39
45 185
146 67
30 157
46 52
441 191
740 10
592 30
253 97
63 563
34 706
52 354
90 403
215 493
198 448
156 758
139 1229
207 1693
213 2193
425 2136
227 2235
119 2173
145 2593
96 2755
111 2602
20 1873
29 2327
36 2718
30 2084
18 1379
9 1862
0 697
22 2540
39 3372
25 3435
18 2819
4 2784
15 2674
23 2795
27 2496
36 1781
24 1734
20 2077
15 1219
125 1444
156 1602
134 2010
160 2563
62 1805
65 1724
6 1439
9 2031
2 1445
0 1312
4 1318
80 1390
335 1456
633 1459
899 1955
1132 1536
1272 918
1092 434
638 687
534 673
1325 175
1855 144
1893 366
1799 1613
1737 1557
1627 1980
1459 1495
1104 2142
724 1713
427 957
954 1176
1413 1399
1478 1379
1469 1216
1399 1355
1375 917
1374 736
852 748
352 604
149 784
163 888
338 895
363 1430
200 476
223 396
162 402
82 90
49 37
41 197
4 207
56 234
21 107
23 46
12 63
6 56
0 15
0 20
0 14
36 9
6 15
69 9
13 14
285 2
644 10
1083 4
1201 8
972 0
546 4
350 3
810 1
1269 3
1449 7
1575 2
1622 14
1473 5
1507 25
1324 40
1003 79
727 48
647 4
727 23
806 13
914 43
841 33
632 3
392 11
230 265
466 696
812 1040
986 927
1011 885
863 1524
718 1809
365 1383
171 820
22 475
53 1139
122 1655
242 1392
298 1051
315 991
168 634
89 1158
22 1275
19 1645
0 1902
18 1651
26 1478
44 696
129 655
163 224
126 143
180 39
196 11
164 18
98 40
113 52
56 39
69 60
19 46
21 15
42 108
2 715
22 1590
0 2010
7 2338
7 1871
14 1736
23 1713
17 1680
23 1867
3 1022
11 1186
27 1365
30 1599
20 1534
28 1063
147 404
76 804
385 1052
1077 1057
1332 960
878 1220
306 1537
567 733
1384 843
1661 1070
1129 1143
478 1217
1256 1022
1780 500
1178 553
764 1068
1169 1432
1784 1578
2062 1447
1259 1172
1455 759
1632 851
1478 1677
1283 1972
581 1728
586 1400
1323 1157
1553 402
891 1338
779 2042
1654 2683
1556 2431
600 2157
17 1007
635 2241
1036 2735
971 2413
669 2228
771 1277
1224 1204
1271 1478
943 1735
466 2168
600 2864
981 3011
1310 661
