"pat" "th"
46 3879
14 2952
66 3853
108 3844
97 3127
45 2374
23 2398
16 2733
22 2728
20 2672
16 2864
38 2913
42 2894
18 2679
12 2787
18 3184
32 3290
85 2473
80 3229
11 3687
15 3002
0 2002
5 1789
2 1610
7 1260
65 1673
0 1048
5 1486
1 1372
3 635
7 1282
7 1918
5 1714
6 882
68 527
7 555
10 269
24 208
15 202
0 84
3 90
4 44
5 33
2 6
0 6
25 41
26 165
19 134
0 39
5 76
101 234
44 167
18 153
2 55
4 50
19 11
1 24
9 8
0 3
0 0
0 0
0 7
3 16
0 31
0 21
0 10
0 6
0 8
0 2
0 20
0 35
0 23
0 21
0 34
0 38
29 159
0 69
0 122
1 139
0 159
1 343
0 254
2 329
0 156
1 107
0 91
0 141
0 814
5 1023
6 1204
3 1487
6 1698
4 1239
1 876
0 440
0 588
0 860
1 1162
0 1335
2 1303
40 1666
7 1128
4 939
0 448
0 329
0 180
1 242
0 121
0 120
0 161
66 139
70 93
74 137
114 116
82 187
21 124
7 42
18 16
8 34
5 46
16 39
35 89
35 50
57 3
74 5
117 115
1 2
3 50
0 249
0 480
3 477
17 319
1 110
1 121
6 82
34 26
0 113
0 390
0 478
0 495
0 453
0 483
0 509
1 767
3 739
1 551
4 819
2 1025
4 1039
4 1013
34 1162
2 365
0 378
0 349
0 251
0 260
0 247
0 158
0 71
0 36
0 75
0 90
2 152
0 158
0 164
1 204
0 186
0 206
0 136
0 23
0 74
0 46
0 28
0 28
1 69
49 110
0 60
0 74
1 180
0 250
1 383
0 445
0 619
1 677
0 770
1 687
0 463
0 431
3 226
0 178
0 187
0 427
0 600
0 415
0 112
0 372
0 389
0 344
0 259
2 33
31 109
0 1
0 3
0 9
0 15
0 42
0 14
0 7
0 3
0 0
0 2
0 1
0 0
0 1
0 4
0 23
0 8
0 12
0 44
0 88
0 401
0 548
0 583
2 101
1 180
59 386
0 366
0 963
1 1371
9 1837
8 2145
9 2498
10 2812
3 2635
0 1751
0 1708
0 1923
2 1890
4 1771
6 1834
6 1848
0 961
0 1061
5 1769
3 1304
7 1053
10 1136
10 1629
10 1884
6 1927
53 2314
7 2183
5 1876
2 1802
2 1727
12 1809
