"pat" "th"
1 201
14 190
0 113
0 277
0 412
0 299
1 271
0 204
0 311
0 304
0 280
0 131
0 286
0 317
1 325
0 239
0 95
0 24
3 277
0 407
0 662
1 770
0 1414
0 2619
0 3566
0 4110
0 3901
8 3524
14 3530
11 3346
10 3108
41 2597
3 1594
0 1058
4 1127
3 626
0 676
3 591
2 958
5 1441
2 1781
2 2165
4 2190
3 2966
0 3601
0 3575
0 2686
0 2997
0 1311
0 1059
0 524
0 97
0 121
0 37
0 0
0 1
4 3
0 0
0 0
0 0
0 0
0 2
0 5
1 2
1 0
0 0
0 2
0 0
0 7
0 0
0 0
0 8
0 13
0 3
0 0
0 0
0 0
0 0
0 1
0 4
0 1
1 0
0 0
40 0
0 9
9 0
18 0
6 0
0 0
0 0
0 0
0 0
0 14
0 74
0 34
0 2
20 0
39 0
0 3
13 0
13 0
0 0
0 0
0 1
0 0
0 0
1 2
0 0
0 0
0 16
0 1
0 128
0 1040
0 2175
0 3560
0 4525
0 4700
2 4508
7 3550
7 2705
0 2220
0 2105
0 2021
0 1875
0 1779
0 1358
0 719
0 183
25 344
21 369
3 478
37 608
10 907
0 1417
0 1620
0 1623
0 1481
2 1016
45 309
49 21
106 161
206 485
211 566
197 446
125 249
8 200
3 218
4 240
1 184
0 62
0 22
0 28
1 7
1 12
2 27
15 146
10 288
0 326
0 378
1 520
0 479
2 383
0 265
0 67
0 11
0 22
0 14
0 3
0 1
0 0
0 27
0 7
0 42
0 407
0 726
0 1059
0 1097
0 1020
0 1069
1 1142
0 1153
11 1189
0 1068
0 1068
0 839
0 483
0 611
0 703
0 651
0 605
0 836
0 853
0 819
0 391
6 230
35 441
0 403
23 330
0 63
0 3
0 2
0 0
0 1
0 6
0 0
0 14
6 31
0 121
0 149
0 415
0 772
0 814
0 751
0 794
0 631
0 511
0 428
0 279
0 162
0 77
0 45
0 83
0 30
0 59
0 16
0 44
0 2
0 8
0 0
0 6
1 0
4 3
0 0
0 0
0 5
0 27
0 32
0 48
0 121
0 237
0 529
0 893
0 1071
0 931
7 784
12 907
97 841
243 446
423 1036
603 1246
776 1176
1297 880
2593 570
4170 191
4209 161
4596 348
5774 437
6737 305
7779 182
8845 333
10684 488
11117 575
10299 298
10035 272
8489 559
8747 726
7442 903
8262 1245
7782 1568
8461 2024
7603 2388
8353 2674
7290 3157
8381 3141
6817 3592
7365 4013
6128 4633
6402 5236
4631 5104
4811 4746
2601 4582
2637 5030
1210 5424
1725 4919
1117 4818
995 4919
326 5569
650 6270
534 6847
725 7404
495 8021
502 8243
974 7764
870 6721
1530 5486
880 4731
1062 4130
1229 3688
1546 2730
1284 2242
1332 1700
1377 1319
1486 1138
1529 1037
1465 993
1466 750
1825 788
1562 603
1986 1037
2119 1209
1950 1684
1633 1628
1196 1651
1111 1451
887 1341
808 1133
801 940
574 626
542 573
365 525
194 654
136 726
154 873
175 1354
213 1730
124 1816
128 2322
38 2571
104 2585
278 2877
192 2933
222 3107
37 3365
56 4251
119 4754
33 4891
114 5204
139 5336
357 4788
215 4522
155 4155
419 3765
460 3376
727 3009
427 2267
585 1891
251 1486
615 923
557 646
1843 351
1253 114
2395 463
1831 1019
3071 1308
2328 1603
3251 1800
3097 2612
3404 3024
2787 3589
3778 3986
3263 4480
4083 4941
3160 5654
4255 6022
3120 6541
4467 6555
4024 5759
4373 5483
3977 5067
3776 4679
3727 4216
3555 3944
3518 3404
3686 3095
3423 2242
3819 2145
4332 2025
4500 1739
3465 1918
2584 1589
2327 1792
2699 1762
1801 1492
1590 1298
927 1206
558 1256
397 1111
226 1036
145 739
132 762
93 537
88 418
151 326
129 231
164 337
210 686
579 1095
1200 1353
883 1666
466 1898
983 1876
962 1664
786 1562
856 1198
426 1068
487 819
795 670
900 404
1147 250
1248 107
1380 53
1414 3
1310 0
1488 0
1288 0
880 0
1569 0
1679 0
2478 5
2286 10
2603 0
2386 0
2530 0
2165 0
2707 3
2027 1
2460 12
1905 6
2137 3
1386 0
2435 2
2401 6
2402 9
2054 4
2257 5
1248 0
1586 4
413 2
832 0
610 0
802 0
450 0
374 0
392 0
516 0
438 0
571 14
634 36
740 0
658 2
546 0
591 0
678 1
632 0
325 0
671 1
1142 8
640 0
550 1
468 0
478 0
437 0
567 0
340 0
505 0
359 0
727 0
708 0
622 2
377 0
430 0
427 0
383 0
339 0
315 0
365 0
354 0
604 1
510 0
742 0
788 0
1436 3
848 0
902 0
834 0
907 2
914 0
840 0
822 0
1003 1
879 0
705 0
1257 0
962 0
729 0
474 0
885 0
650 1
391 0
510 0
460 0
296 0
174 0
302 0
519 0
585 0
758 0
587 0
934 0
1127 0
1429 0
1792 0
1877 0
1925 0
1962 0
2363 0
2636 0
2894 0
2914 3
2936 1
2377 0
2563 2
2470 2
2852 5
2464 3
2270 8
2326 2
1957 5
2095 0
3210 0
3414 0
2608 0
2334 0
2678 0
2433 0
3348 4
4138 6
4229 7
4510 4
4305 5
3893 0
3908 4
3307 28
2202 1
1395 0
1230 0
1677 0
1761 0
2148 1
2321 0
2738 3
2472 3
4094 9
4636 6
5647 27
4836 17
5765 21
4968 20
5851 22
4884 20
5962 30
5419 25
5091 22
3605 16
4354 23
3204 40
4468 58
2853 52
2869 84
1685 57
2684 65
1565 7
2251 19
1146 0
1982 7
1323 2
1536 7
1337 0
2199 9
1123 0
1777 5
1089 2
1246 6
1012 0
1077 1
801 0
998 6
714 0
1140 0
1491 0
1158 0
1158 0
1040 0
1041 0
711 0
409 0
536 0
597 0
626 0
768 0
790 0
712 0
893 0
666 0
810 0
648 0
319 2
268 0
313 0
507 0
523 0
588 0
238 0
309 5
352 0
573 0
556 0
433 0
362 0
482 0
490 0
512 0
249 9
80 9
258 10
293 0
260 77
485 47
259 30
429 36
325 47
955 15
458 0
861 3
311 1
495 3
336 0
313 2
556 2
979 0
519 0
363 0
441 0
360 0
362 0
251 0
186 0
66 0
130 0
164 0
310 0
42 0
260 0
110 0
59 0
77 0
176 0
73 0
403 0
559 0
568 0
358 0
776 3
787 3
1166 6
1607 10
1513 3
1786 0
2469 2
2623 9
3782 18
5001 29
5164 24
4600 17
4868 12
3804 5
4298 8
4394 15
2822 7
2524 1
3563 5
5331 18
4909 18
4886 27
4772 17
3815 7
4131 9
3976 20
3155 12
3357 7
4428 24
5225 17
5976 19
4271 27
3244 21
2682 10
2956 24
3905 35
2381 7
2264 8
