"pat" "th"
7704 48
6063 17
6127 20
5938 6
5193 5
3155 3
1798 5
1608 6
1482 5
1369 1523
1486 7
1201 2
781 0
658 0
565 0
1003 0
1580 0
1614 0
2588 0
3192 0
4234 0
5163 8
4223 6
5147 12
5995 13
5049 17
3494 13
1679 12
2133 16
1919 23
1355 13
1372 8
1728 8
1852 11
2743 6
2869 7
2590 10
2657 10
2448 9
2654 5
3517 8
3980 11
4050 9
3905 9
4478 11
4679 9
5660 14
5255 2
5905 8
5797 4
3576 7
2278 0
1891 3
2395 1
2951 0
3117 0
2935 4
2975 0
2956 4
3068 3
2455 17
1517 12
960 6
983 3
1202 4
1594 0
1715 0
1987 0
1819 0
1296 0
1458 0
2122 1
2269 0
1864 0
2482 1
3467 0
4704 0
4411 0
3920 0
4550 1
5319 3
6402 9
6236 14
5301 18
5720 27
5567 17
4969 3
4790 18
4183 5
3842 0
4614 2
4728 1
5250 0
5569 0
5638 0
4716 6
4508 64
3214 5
3754 5
3646 13
3015 6
3392 11
3007 25
3462 9
2833 1
2923 27
3510 35
3558 47
3539 32
4053 22
3856 8
5069 21
5496 29
5119 22
3715 13
3353 11
3548 24
3084 15
4366 26
5436 38
6308 18
7401 41
7628 13
8290 24
7218 24
6267 19
3896 20
3460 118
3768 32
4395 69
3926 55
3986 29
4413 42
4415 31
4590 24
4484 25
3387 27
2359 29
2041 47
2927 19
2700 15
1860 36
1819 66
1877 31
1641 22
2080 57
2167 66
1827 2
1653 9
1853 0
1343 5
1140 0
1005 27
468 0
878 0
1061 0
882 1
638 3
391 26
180 422
270 1251
373 1471
487 1236
874 603
817 631
661 860
92 932
720 446
949 169
1416 450
1131 379
959 377
1410 0
1628 7
1261 174
1022 139
816 25
448 140
581 314
1274 112
1888 64
2035 14
1912 265
1587 49
1030 7
1223 5
1178 1
305 3
320 1
416 8
239 3
231 0
489 0
594 0
648 0
1336 0
1579 9
1459 33
1687 157
942 36
649 17
467 30
457 24
628 39
1448 0
2614 40
2807 9
1637 0
1817 1
1511 90
937 159
1344 1318
1575 1413
1284 1110
1934 516
1807 422
1672 1043
1475 1098
2002 815
2980 818
3611 1241
3486 704
2116 327
1678 457
1740 473
1879 376
2031 480
2646 77
2857 102
2530 26
2654 211
3529 185
4430 190
5767 161
5497 387
6746 629
6497 500
6126 258
5603 872
5004 1438
4992 780
5536 568
4757 649
4707 730
3885 94
4001 469
4355 148
3991 93
4000 24
3773 14
3428 73
2677 66
2365 35
2005 60
1837 13
1571 30
1366 22
1561 38
1907 16
2280 37
2466 33
2230 30
2599 26
2938 32
3334 112
3504 71
3435 52
3018 27
2625 17
2675 10
2806 71
3468 110
2486 8
2382 0
2415 0
1827 0
1499 0
698 58
1308 46
1427 0
1036 0
1444 8
1551 14
1590 0
1580 3
1528 6
1433 1
1857 9
2102 10
2361 28
2837 26
3377 22
3491 81
3713 107
3259 105
3938 129
4126 151
4657 550
5000 906
4487 873
3996 502
3853 722
3914 601
3735 989
3615 729
4002 1321
4451 1434
4719 1912
4408 2810
3903 2467
4860 2257
3078 2021
2119 1995
1907 2043
1920 2253
2059 2434
1948 2216
2074 1795
1811 1322
1454 755
2404 570
3702 809
3711 464
3850 735
3559 953
3417 1283
2324 1172
1945 888
2322 849
3429 836
4679 1212
6037 1291
7566 1538
7955 1600
8282 1781
8734 2078
9652 2467
10824 2048
11033 2079
11246 1914
10668 2470
9756 2192
9859 2594
8686 2252
8350 2450
9940 2203
9553 1743
6871 1076
6365 1148
7023 1197
6759 1177
6140 1715
4878 2133
3849 1942
3045 2188
3306 2488
3297 2478
3768 2537
4235 3246
5884 2625
7268 1927
8331 2169
7907 2076
7696 1114
7915 1410
