"pat" "th"
562 1090
263 1010
527 885
504 1003
262 1110
215 1036
74 999
52 866
2 733
9 628
28 628
128 963
325 1699
509 2279
696 2473
1049 2145
1318 2244
1492 2296
1384 3222
975 3750
808 4251
667 4770
557 5334
371 6198
258 7369
135 8240
401 8842
373 9238
566 10484
605 9538
508 8002
706 7353
823 5678
926 3809
889 2593
1652 2449
1827 1862
2293 1079
2440 791
2634 583
2729 235
2563 205
2070 325
1741 129
1478 25
1351 6
1285 11
1306 63
1257 40
1430 100
1479 109
1744 194
1893 169
1951 140
1874 132
2192 86
2139 167
1931 391
1208 982
1225 1648
1922 2248
1765 2886
1225 3688
937 4145
1134 4732
1209 4686
1247 4384
1071 3753
1015 4318
1083 4740
1177 4881
1328 4928
1611 5074
1852 5228
2258 5575
2385 5872
2582 6250
1998 5853
2162 4899
2186 3843
2339 3284
2206 3949
2244 4464
1798 4197
1576 3582
1025 3917
698 3990
85 4108
23 4251
367 4171
295 4123
611 3826
582 3348
869 2677
838 2327
863 2282
722 2201
611 2227
400 2355
252 2673
50 3196
20 3314
4 2928
15 3093
51 3424
14 3669
98 3744
16 3010
62 1543
17 1232
21 1501
3 1318
8 1517
5 1932
3 2160
4 2317
6 2524
7 2646
7 3445
4 4662
17 5247
29 5821
23 5605
34 5476
38 5290
18 4602
27 4133
11 4490
27 5001
22 4912
13 3934
14 3538
16 4047
14 3801
18 3851
21 3724
32 3005
18 1800
27 1407
42 1752
21 1816
20 1873
17 1849
13 2132
12 2500
21 3018
31 3074
11 2333
18 1188
1 701
6 973
13 1388
7 1362
10 1250
9 1672
11 1859
23 1590
76 1332
60 962
63 567
8 537
7 611
11 1113
27 1577
38 2068
19 2231
61 2369
22 2370
35 2385
16 2142
16 2181
15 1959
32 1412
63 1410
51 1121
27 991
81 967
41 682
51 451
69 265
148 150
53 425
51 450
83 390
38 246
5 98
1 180
0 143
0 170
0 176
0 251
0 315
0 178
2 159
2 141
1 115
0 82
0 14
0 111
2 323
3 723
6 815
4 568
4 379
2 221
1 250
1 150
1 132
1 417
2 898
5 1558
8 1741
14 1429
62 731
19 419
138 249
317 198
852 166
1793 148
2099 96
2085 80
2004 39
1609 13
1221 0
971 0
965 0
766 1
545 0
399 0
343 0
509 0
801 0
825 1
669 0
365 0
807 2
914 0
759 0
440 0
540 0
667 1
1382 0
1591 0
2000 0
2516 7
2720 0
2637 0
2608 0
2551 1
2516 11
2211 1
1912 14
1889 0
1785 2
1366 0
948 0
806 0
550 3
494 0
772 0
1323 0
1277 0
1089 0
404 0
172 0
219 0
25 0
52 0
338 0
316 0
361 0
117 0
0 0
0 0
10 0
92 0
29 0
48 0
10 0
36 3
2 138
4 454
7 794
14 981
13 1115
19 1273
15 1571
11 1697
4 1410
5 1453
8 1695
7 2097
10 2871
18 3563
3 3702
2 3794
0 3609
0 3072
66 2529
75 2893
100 3148
147 3549
101 3557
105 4003
54 3838
126 3578
66 3150
106 3305
78 3498
114 3232
16 3354
329 3414
600 3382
820 3196
937 3557
1040 3653
1175 4150
1331 4472
1487 4634
1611 4631
1033 4843
900 4930
767 4861
840 4772
520 4712
373 4972
316 4781
268 3737
211 2695
197 1727
144 1992
130 2146
25 2011
0 2186
73 2578
165 2328
260 1680
312 1750
413 1895
471 2046
504 2154
503 2028
547 2324
624 2537
647 2557
725 2811
924 2906
889 3001
827 2992
725 3000
839 3084
819 3440
755 3511
281 3195
262 2613
402 2316
558 2037
121 1814
138 1888
75 1826
66 1492
5 1592
8 2289
1 2851
1 3146
2 2983
1 2535
0 2163
0 1661
0 1256
0 820
0 951
0 916
0 658
0 400
0 369
0 297
0 212
0 60
0 7
0 7
0 36
0 50
0 80
0 17
0 59
0 15
0 0
0 0
0 49
0 289
0 467
0 671
0 792
0 944
0 1082
0 997
0 923
0 763
0 637
0 669
0 658
0 444
0 162
0 55
0 112
0 368
0 457
0 571
0 601
0 600
0 323
0 295
0 435
0 398
0 446
0 147
17 338
37 121
19 594
20 1365
19 1564
14 1310
8 350
1 1015
1 1334
3 1207
8 993
8 908
11 1119
10 1008
3 848
4 1034
0 1357
0 1038
0 1070
0 983
0 571
0 293
0 176
0 75
0 15
0 59
0 199
0 246
0 187
0 147
0 2
0 42
0 0
1 0
39 1
20 0
0 0
1 0
2 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
74 0
226 2
461 2
755 0
762 0
1033 0
1182 0
1487 0
1806 1
1896 0
1981 0
2136 0
2215 0
2149 0
2136 0
1901 17
1897 9
1933 44
1504 20
1373 14
1048 19
654 6
381 3
301 30
744 6
745 6
761 3
775 2
753 5
461 5
132 17
318 15
300 12
518 4
264 4
143 6
58 5
122 6
102 7
90 6
63 3
37 2
79 4
65 4
44 4
0 0
0 0
0 0
0 0
0 0
0 0
0 12
0 16
0 53
0 91
0 231
0 535
0 855
0 855
0 814
0 983
0 1036
0 869
0 395
0 105
0 139
0 130
0 178
0 105
0 2
0 38
0 2
0 59
0 15
0 20
0 22
0 22
0 0
0 3
0 0
0 0
0 0
0 0
0 0
0 8
0 0
0 0
