"pat" "th"
0 87
0 32
0 14
0 30
0 51
0 67
0 121
0 198
0 221
0 236
0 296
0 388
0 390
0 352
2 340
8 262
36 202
5 58
139 9
311 20
382 176
302 283
220 318
92 405
18 392
0 403
15 389
54 246
57 138
31 30
89 93
56 167
22 207
30 212
45 200
24 172
0 208
0 186
9 179
3 72
6 117
69 193
49 242
161 416
186 354
88 458
35 191
5 71
0 65
0 51
0 30
0 44
8 28
0 158
0 218
0 312
1 279
0 199
17 87
0 78
0 90
0 88
0 155
5 269
5 399
5 445
9 596
6 566
22 479
77 426
11 363
4 228
31 104
115 80
92 97
45 111
1 32
0 0
0 0
0 0
0 0
0 0
0 0
0 1
0 0
6 0
112 0
114 0
79 0
0 0
0 0
65 0
61 0
22 0
0 0
0 0
1 0
14 0
31 0
0 0
0 0
0 0
23 0
6 0
0 0
0 0
20 0
64 0
16 0
0 0
0 0
4 0
34 0
4 0
0 87
0 265
0 337
4 330
17 312
1 226
0 274
0 192
0 128
2 142
0 476
0 603
0 225
0 135
15 501
77 450
77 267
50 787
25 859
0 594
3 529
70 447
241 478
264 533
273 445
193 512
65 828
26 942
3 985
1 985
1 937
10 1006
6 1096
1 1068
3 1192
5 1376
2 1459
3 1423
3 1282
1 903
1 1079
3 734
3 667
2 399
0 282
0 574
2 786
0 890
0 930
5 1016
2 1087
0 1139
18 1283
34 1127
60 1251
27 1110
0 1139
0 1167
31 1149
39 931
39 966
14 905
0 814
0 861
69 807
2 710
0 695
0 590
0 449
1 284
48 257
812 272
1708 242
2911 365
3661 347
4075 527
4114 549
3652 421
2629 303
2095 272
1866 266
1565 188
1976 286
1457 347
1903 210
1749 221
1781 278
1706 383
1193 502
1088 609
1044 660
1180 607
1509 443
1687 366
1772 211
1611 301
1610 375
2086 429
2038 515
1590 643
1558 648
1306 587
1222 675
846 700
1020 761
1352 728
1035 505
755 382
1687 274
2806 145
3284 57
2903 174
2102 212
1757 211
1887 102
2213 101
2533 66
2734 302
2469 414
2210 333
2020 448
1695 470
1447 511
1543 331
1870 166
2309 219
2815 351
3467 358
3368 241
3489 158
3616 138
3639 262
4063 282
4124 222
4437 207
4451 228
4489 308
4057 244
3568 222
3082 301
3068 262
2710 426
2484 711
2345 666
2050 972
1561 729
1265 699
826 653
824 1020
1085 1325
1753 1107
2100 940
2585 1219
2866 999
2831 1005
2956 718
2820 727
2696 915
2294 937
1862 896
1711 1001
1903 1071
2078 1178
2536 1113
2506 1217
2629 1263
2647 1247
2982 1330
3344 1359
3695 1463
3987 1535
4087 1524
3843 1469
3890 1123
3984 769
4279 542
4291 409
4113 368
3189 281
2081 411
1301 591
1149 769
1280 1022
1314 1125
1211 1094
987 1129
822 1366
610 1415
591 1401
544 1190
348 1093
375 948
226 834
106 705
276 622
347 507
250 372
152 302
79 479
1 348
29 334
99 203
100 82
86 0
336 14
316 18
72 0
109 5
89 0
11 0
66 0
18 0
17 0
15 8
14 0
117 0
228 0
141 0
48 0
13 144
15 347
24 321
8 344
9 301
18 375
25 467
12 484
14 702
0 734
0 885
0 822
0 674
0 528
0 947
0 1176
0 1093
2 1138
0 330
0 570
0 224
0 169
0 176
0 27
0 90
0 43
0 68
0 80
0 84
0 80
0 31
0 28
0 8
2 25
0 36
0 60
0 52
0 73
0 19
0 32
0 7
0 4
0 7
0 7
0 16
0 4
0 50
0 74
0 70
0 40
0 16
0 13
0 26
0 14
0 5
0 10
0 2
0 8
0 36
0 43
0 36
0 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 4
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 1
1 2
0 0
0 0
0 0
0 12
0 1
0 8
0 11
0 0
0 0
0 0
0 0
0 1
0 1
0 0
0 0
0 0
0 0
0 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
66 0
291 1
313 2
122 0
9 0
0 2
105 17
311 45
368 68
242 88
14 88
0 100
42 124
54 115
21 89
13 106
13 56
221 47
61 85
3 111
0 215
16 232
29 256
2 305
2 302
0 273
27 156
67 126
132 98
10 234
0 283
14 358
66 498
122 563
32 619
0 597
254 553
400 438
233 436
536 438
807 481
382 464
478 424
363 378
271 300
410 234
323 215
163 292
38 177
85 8
187 58
216 67
364 33
560 39
125 38
1 30
263 5
410 4
107 1
5 0
12 0
30 0
19 9
0 0
101 1
187 0
67 0
16 0
0 0
7 0
23 0
0 0
0 0
0 0
2 7
0 30
0 23
0 35
2 17
0 12
8 13
0 16
1 22
0 39
0 71
0 52
0 44
0 50
0 116
0 166
2 163
0 122
0 61
0 67
18 78
39 92
0 68
0 1
0 1
0 35
0 30
0 113
0 161
0 225
0 228
0 5
0 8
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
0 0
0 0
0 0
0 1
0 0
0 0
0 10
0 0
0 0
0 0
0 0
0 0
0 0
0 0
2 0
0 0
0 0
0 0
0 0
0 0
0 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
2 1
0 13
0 11
0 5
0 18
0 63
4 72
5 143
1 184
0 204
