"pat" "th"
1550 6948
1317 5657
1291 4115
2303 5162
2697 5850
3105 7488
3596 7253
3653 5696
3457 3680
2451 2606
1167 2695
1228 4516
1396 4494
1704 3636
2105 3165
2345 2828
2409 2948
2451 2903
2182 2586
1895 2535
1765 1990
1923 1409
2207 756
2483 224
2401 278
2011 323
1931 215
1903 130
2046 332
2167 865
2148 1418
1853 1824
1339 2351
853 2592
523 2822
374 3452
223 3431
261 2778
156 3229
126 3250
65 3917
11 4530
30 5085
26 5464
13 4803
23 4026
19 3294
15 2376
37 2285
25 2295
11 2087
33 3353
10 3022
104 3221
187 2272
273 1212
285 492
247 1974
182 2967
145 3292
78 2764
38 1620
24 2210
31 1402
33 313
112 1617
72 2493
16 2077
0 1397
0 1004
0 690
1 527
0 530
15 472
25 536
55 274
128 360
104 411
120 444
60 156
36 384
37 273
57 75
106 200
177 243
157 143
12 15
16 1
11 11
110 4
196 19
436 14
693 36
904 18
1120 37
1377 85
1521 136
1747 107
2105 93
2405 16
2586 9
2707 82
2583 150
2727 323
2628 134
2647 23
2506 14
3123 36
3769 23
3310 11
3109 16
3297 20
4124 7
4120 1
4389 24
4054 2
3692 2
3564 11
3836 2
2784 3
2310 0
2473 0
2534 0
3206 1
4334 24
5312 0
4916 27
2816 8
2749 0
2800 135
2026 2
955 3
663 2
863 0
1497 17
1299 1
1157 0
979 0
555 0
277 4
215 3
362 0
466 0
702 0
751 0
822 3
1146 3
976 0
553 0
405 1
453 4
381 0
380 0
363 0
308 7
209 53
10 48
31 39
30 11
72 0
193 0
264 2
247 1
196 10
171 138
217 255
228 140
135 93
42 372
7 964
38 1244
132 990
337 699
440 327
549 56
342 0
76 34
5 21
49 110
32 113
0 112
0 54
0 28
11 1
3 10
9 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 133
1 466
0 1128
0 1593
0 1712
0 1271
0 1470
0 1312
0 983
0 974
0 1168
0 1108
0 1517
0 1618
0 1304
0 2048
0 1945
0 718
0 802
0 1298
0 1248
0 921
0 956
0 1135
0 1086
0 1016
0 940
0 745
0 650
0 957
0 735
0 501
0 607
0 405
0 198
0 174
0 301
0 169
0 26
0 1
0 29
0 0
0 88
0 21
0 156
0 81
0 98
0 214
0 48
0 140
0 34
0 0
0 1
0 0
0 3
0 0
0 0
0 0
0 0
6 339
1 919
16 1317
0 1810
0 1482
13 1694
5 1663
36 2052
12 1288
6 664
0 810
0 1309
0 2062
42 2830
83 3233
6 3019
0 2474
0 1820
17 1573
5 1412
11 1578
0 1381
8 1090
7 1373
6 1424
6 1567
13 2121
10 2078
25 2872
15 3675
14 3406
16 3702
12 4381
4 4516
0 4021
0 2450
0 1564
0 347
0 284
0 451
0 534
0 384
0 703
6 952
20 858
46 1236
154 1864
162 2353
217 2533
325 4616
465 5766
521 3073
361 5502
377 7455
330 3776
361 3691
263 3005
366 2194
393 1731
670 1864
1003 1750
1165 1799
1166 1833
1121 2974
957 3755
929 2025
1089 805
920 2058
706 1550
354 1841
181 1424
486 444
1125 507
1354 580
1062 1451
750 985
265 1108
300 572
329 503
428 53
432 161
492 147
435 477
354 635
255 1352
216 1711
331 1397
412 1273
573 1189
624 1320
344 1381
324 1503
417 1763
382 1957
117 1502
61 1636
5 1424
17 1706
1 1523
0 1686
5 1338
4 1312
40 1111
36 1009
33 740
22 1257
33 1183
22 1450
4 1549
13 1308
12 724
2 1337
0 932
0 710
0 318
0 843
0 717
0 724
0 392
0 331
0 278
0 231
0 438
0 868
2 1495
4 1738
6 1618
1 1772
1 1231
1 1217
0 865
3 647
0 891
0 606
2 437
0 168
0 71
0 344
0 348
0 257
0 128
0 19
0 46
0 29
0 50
0 38
0 12
0 71
0 15
0 65
0 49
0 16
0 52
0 77
0 44
0 12
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 8
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 1
0 1
0 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
23 0
35 1
108 4
251 0
494 3
642 2
1075 1
1542 1
2196 12
3000 9
3850 8
4034 7
3505 12
3117 14
3465 14
4097 12
4464 11
4708 20
5360 19
5682 22
5555 26
5441 67
4490 68
3048 42
2673 33
2804 37
2251 33
1533 33
1716 38
1213 58
867 29
660 41
439 79
145 92
209 33
274 37
475 63
756 0
960 65
1202 203
1487 239
1621 719
1968 1059
2016 923
1669 871
1357 1147
1043 1407
746 1892
351 1866
311 1959
421 2159
18 2104
314 1938
185 1644
40 1699
332 1007
154 1517
3 2570
6 3447
5 5319
22 5834
16 6461
33 5782
55 4765
38 3540
22 2919
17 3125
25 2811
11 3238
9 3386
8 2913
4 1831
16 3396
10 2051
8 2212
16 3437
27 4796
25 4976
12 5954
8 5563
5 5558
0 4470
0 4893
0 2929
0 1737
0 1428
0 1949
3 2445
8 2352
14 1544
28 1841
22 1734
0 1187
1 1135
9 1352
10 1406
5 1934
17 1669
4 1598
2 1169
1 842
0 696
3 622
3 629
45 986
105 1531
80 1821
12 1975
88 2120
213 2071
201 2044
39 1568
45 1323
53 1194
15 875
0 807
0 741
40 403
38 252
32 223
17 175
0 71
0 77
0 79
1 209
0 8
3 18
9 36
11 264
8 511
0 368
0 365
5 165
7 238
48 226
14 139
14 101
42 59
54 55
69 238
89 615
35 1006
13 1525
23 2131
10 1971
142 1894
154 2594
86 2963
176 2779
204 2312
306 2062
595 2079
817 2203
668 2540
741 2550
683 987
627 562
701 614
686 782
1054 814
1266 1591
1775 1182
1776 2123
1856 1941
1576 1745
1365 1330
839 1628
442 1517
242 1632
507 1622
915 1919
866 1457
746 2043
786 2302
961 2520
927 2237
553 3315
656 2558
530 2039
460 2059
519 1605
586 1945
512 1614
350 1948
167 1652
168 2024
369 1877
509 3093
653 1883
575 1768
366 1777
458 1211
672 831
812 908
560 1338
347 1664
331 1771
659 1755
1068 2141
1098 1480
1441 2151
1475 2359
1202 1563
1009 1407
854 1226
816 787
734 1123
933 1307
1281 1218
1787 1156
1360 836
1233 1287
1331 789
1616 510
1669 95
1615 87
1107 190
834 187
833 79
1259 9
1435 69
1375 56
1606 46
1624 30
1858 67
1495 10
1256 14
812 16
582 31
769 45
916 9
1234 488
1173 330
895 237
938 307
802 190
624 805
772 84
936 68
1249 653
1202 299
720 369
398 382
553 232
561 536
163 894
87 731
125 414
116 68
120 36
135 137
130 208
105 323
57 202
10 221
26 14
33 3
62 1
192 20
240 24
168 4
114 0
63 5
26 0
40 3
85 5
165 25
258 30
245 34
168 31
138 115
54 80
9 35
2 2
0 11
1 11
1 2
0 10
7 0
6 5
3 2
4 0
0 0
38 11
170 10
400 30
769 38
1231 72
1701 84
2203 84
2533 71
3526 165
5179 83
6413 76
7040 66
7082 42
7530 22
7978 28
8246 33
7789 331
6996 759
5829 978
4979 1253
4400 1457
3962 1519
3570 846
3310 466
3094 567
3476 803
3846 802
3811 298
4246 286
5233 338
7392 517
7638 507
7247 422
5748 299
4554 270
3970 545
2060 421
1560 191
1781 231
2223 422
1940 137
1760 248
1291 452
656 627
448 296
889 71
1370 283
1565 300
2177 355
1818 375
806 462
575 290
674 172
1129 195
990 166
307 271
371 219
602 59
750 99
681 108
340 108
470 111
394 50
246 75
133 10
97 8
114 85
249 30
326 40
227 69
130 64
76 324
116 1162
95 1415
119 567
44 140
7 255
74 750
69 620
34 326
36 171
69 483
65 1034
55 1201
4 863
2 754
6 600
1 691
22 893
40 1285
81 1124
41 888
12 691
3 447
13 107
0 58
0 165
0 0
0 77
0 10
0 1
0 351
0 200
0 28
0 0
0 25
0 29
0 0
0 0
10 0
0 0
10 0
40 3
22 6
16 0
6 0
0 13
0 0
8 2
0 0
0 0
0 1
4 0
56 2
86 8
157 3
175 15
152 19
78 22
59 45
9 35
0 16
12 0
29 1
2 0
0 1
0 96
1 123
0 79
2 31
3 12
19 1
6 0
15 5
0 0
0 0
33 12
80 4
66 1
78 36
44 3
63 15
61 0
50 6
27 24
22 771
0 1274
0 743
0 835
0 392
0 452
0 753
0 417
2 500
7 377
0 109
24 372
0 551
0 857
0 905
0 1212
0 1199
0 326
0 497
0 691
0 432
0 173
0 441
0 710
0 637
0 556
0 828
0 1032
0 936
0 922
0 1023
0 1078
0 986
0 811
0 577
1 737
0 952
0 967
0 493
0 437
0 755
0 639
0 600
0 615
0 517
0 591
0 688
0 992
0 1285
0 1003
0 572
0 1063
0 1249
0 1837
0 2073
0 2599
0 2452
0 2578
0 1560
0 1121
0 1572
0 995
0 144
0 852
0 285
0 369
0 166
0 47
0 63
0 32
0 10
0 3
9 0
0 10
0 26
0 9
0 32
0 35
0 41
0 68
0 73
0 53
0 34
0 12
0 7
0 1
0 1
0 4
0 0
0 2
0 0
0 1
0 4
0 34
0 56
0 5
0 3
0 21
0 33
0 16
0 18
0 0
0 2
0 0
0 0
0 0
0 0
0 0
0 0
0 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 5
0 2
0 74
0 252
0 389
0 613
0 838
0 1061
5 1849
0 2225
0 1745
0 2208
1 2261
9 2249
14 1532
9 679
7 481
9 600
5 811
5 362
0 6
2 80
3 168
9 190
3 558
5 757
5 1131
3 1392
0 1624
0 1365
0 1380
0 1455
0 1221
0 1582
0 1803
0 1269
0 854
0 314
0 524
0 0
0 0
0 0
0 0
0 0
0 0
23 594
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 209
0 1023
1 1898
0 2169
0 1116
0 2215
0 2015
0 1355
0 1531
2 1098
1 842
2 1183
1 1344
0 1322
1 1178
0 1381
