"pat" "th"
0 0
13 0
3 0
52 2
90 2
209 0
124 0
176 2
120 5
238 0
438 2
745 8
1028 16
1369 23
1578 31
2232 39
2558 21
1929 24
1098 21
1434 27
2201 32
2924 32
2731 26
1452 26
1020 18
775 36
676 18
1415 6
1060 3
809 0
1643 0
2605 9
2310 9
1677 4
1563 5
1607 17
1528 31
853 14
944 11
498 1
447 17
366 4
525 13
685 25
482 18
826 0
832 13
396 18
59 0
436 26
541 24
1258 71
1866 23
1680 21
1378 7
1017 9
664 12
1054 13
1677 15
1128 11
400 14
325 15
934 19
1575 61
2115 86
2098 83
1810 69
1567 3
1717 56
1874 3
2223 94
2204 117
2084 150
1825 90
2603 301
2905 407
2232 433
1225 383
868 280
1430 325
1790 500
1977 1046
2062 1921
2570 3156
3505 3888
3784 3870
4494 3122
4358 2071
4253 2890
4025 3650
3684 3103
3325 1528
3148 3091
2777 3017
2612 2065
2391 1357
1996 2659
1421 3474
1181 3733
940 3901
908 2348
1246 485
1419 648
1423 587
1867 178
2383 156
2707 68
3014 28
3242 165
3465 63
3824 102
3667 438
3213 572
2933 355
2694 544
2766 249
3149 65
3381 211
3245 420
2993 616
2868 834
2602 740
2560 392
2291 400
2129 375
1963 288
2435 150
3577 241
3712 306
3424 463
3028 539
2545 570
2179 658
2021 813
1828 854
1943 640
2090 774
2059 662
2302 659
2367 975
2516 1374
3186 1723
3248 1978
4531 2061
5469 1841
5081 1720
4265 1468
3602 870
3106 441
3121 710
3157 1006
3449 1176
3376 1455
3429 1430
3371 1231
3358 982
3903 1125
4417 1398
5210 1402
5588 1062
5666 628
5779 454
5518 368
5338 379
5110 533
4528 681
4055 804
3884 932
3237 892
2279 965
1711 951
1312 1387
1266 1787
985 1783
945 1144
1092 341
1073 1752
1075 2071
1692 1270
3032 392
4459 321
5430 557
5487 399
4367 232
2768 659
2613 1156
3843 1108
2308 573
1273 176
1403 94
1720 170
1457 367
150 581
526 638
421 1177
295 1508
330 1332
168 928
1 655
9 269
16 1380
0 1345
1 809
32 632
5 734
0 743
0 782
0 308
0 28
10 37
123 130
387 473
399 416
235 552
116 834
156 1052
232 1248
288 1152
281 722
116 447
154 392
290 378
375 131
439 89
434 207
411 437
203 166
302 29
129 17
57 7
166 9
209 14
192 13
90 0
0 0
0 0
11 0
0 0
0 21
7 8
22 15
7 1
3 66
39 76
1 17
0 0
0 88
50 394
584 266
1162 47
1838 69
2727 20
3420 22
3078 0
2244 0
2127 0
2288 0
2452 10
2173 11
2183 2
2351 2
2798 10
2275 0
1790 22
1290 3
1485 8
1661 1
1864 7
1822 13
2402 16
2522 8
1583 2
1714 35
2450 6
2240 18
3077 5
3106 4
2336 0
1588 7
2178 71
1952 165
2042 221
2039 205
1911 3
583 57
931 72
1123 318
734 390
776 153
1097 116
1052 85
1081 90
940 131
614 115
222 88
81 7
0 35
1 157
32 80
8 15
0 31
10 128
5 458
3 319
4 8
0 49
2 370
4 723
0 269
2 21
0 133
1 78
0 40
0 0
0 14
0 20
0 3
0 0
0 0
0 0
