"pat" "th"
4086 43
3979 47
3760 42
3082 32
2324 48
2182 10
1790 13
1491 2
2221 17
2277 4
2545 21
2755 33
2779 31
3173 38
3729 72
3879 28
3129 25
1628 30
2064 40
2394 41
1999 36
1956 99
2245 17
2029 63
1426 14
769 83
1871 67
1969 65
1542 31
1288 58
1380 22
836 48
815 81
805 44
1170 23
1711 23
1916 45
1936 9
1742 27
1668 44
1232 20
1523 6
2288 59
2445 12
2488 11
2003 28
1586 55
1414 20
1232 21
1129 10
772 4
700 15
638 6
529 8
287 8
61 10
11 1
12 0
29 0
17 0
20 0
18 0
0 0
2 0
0 0
5 0
0 0
0 0
0 2
3 0
0 0
4 0
0 0
0 0
0 0
1 0
0 0
31 0
18 0
118 0
58 0
29 0
30 0
8 0
66 0
18 11
26 2
56 1
96 1
603 0
1444 4
2997 2
5066 7
5829 32
4422 54
2383 36
2251 31
2206 6
2291 25
1604 33
1296 20
1545 22
1627 17
1706 30
1787 34
1680 17
1391 13
908 11
560 4
325 7
324 6
360 5
268 4
473 14
506 23
547 8
495 15
442 23
309 38
397 86
392 81
533 269
516 586
587 567
746 756
860 1040
915 1099
914 1131
744 1123
601 1050
774 845
763 535
971 430
1189 326
1477 189
1785 168
2265 83
2460 40
2630 85
2934 140
2898 193
2659 304
2338 337
2136 419
2630 356
2351 284
2161 164
2595 71
2826 421
2547 638
2340 911
2480 1103
2548 1237
2975 1425
3383 1487
3677 1862
3471 1720
3133 1189
2840 831
2351 710
1916 901
1391 624
853 497
1123 375
1390 219
1498 364
1357 700
1063 343
834 187
717 140
834 59
1315 84
1314 19
1183 13
958 10
959 10
1161 5
1279 5
1078 5
751 4
860 8
1071 10
1285 20
1380 17
1314 18
1217 16
1199 6
802 5
757 4
493 2
518 2
588 5
660 2
689 21
803 23
842 34
707 5
393 4
355 7
474 7
808 7
1038 41
882 22
860 5
928 5
729 3
761 2
917 3
608 3
649 7
493 6
420 4
493 0
461 4
582 7
788 13
961 13
730 22
663 12
513 17
317 12
611 10
786 18
668 25
508 23
448 13
259 8
227 3
179 2
164 0
123 1
139 11
178 18
380 17
501 21
614 16
645 14
798 20
959 24
1143 40
1188 50
1228 29
1293 25
1276 34
1222 32
1425 40
1278 47
1050 25
978 26
1082 28
1253 31
1352 23
1123 7
768 15
694 18
533 0
205 3
222 1
298 8
338 6
203 1
95 2
394 7
464 33
411 43
501 46
493 40
490 33
323 87
440 115
619 87
652 80
564 23
741 39
841 44
848 59
879 66
822 45
1279 55
1482 45
1012 23
1149 18
948 22
848 32
877 12
796 47
992 34
907 27
768 22
651 21
453 13
287 12
265 17
265 8
216 8
436 22
932 39
1191 33
1073 51
895 50
619 49
580 29
591 28
534 14
500 16
402 8
305 8
262 8
337 11
416 21
607 51
591 19
430 16
593 16
547 14
616 5
604 0
528 2
642 1
588 3
623 10
778 8
776 7
919 10
825 10
889 9
1076 15
1348 15
1162 30
905 9
1015 6
1146 6
1118 0
1075 10
1096 11
1022 10
831 10
260 3
295 11
329 6
296 10
208 15
195 4
288 9
216 13
244 17
285 16
116 5
120 10
118 9
252 10
544 25
836 37
1093 24
1050 18
1097 14
1230 9
1494 23
1727 21
1968 31
1891 26
1794 47
1887 72
2178 80
2159 70
2074 67
2418 63
2714 64
2726 60
2782 51
2736 26
2486 9
2122 8
1882 8
1877 10
1860 11
1832 11
1683 14
1589 16
1369 14
1204 13
1205 11
1153 10
936 8
942 6
663 7
